Alena Kupčíková
Amalie Mánesová
Anna Boudová Suchardová
Anna Chromý
Zdenka Braunerová
Zorka Ságlová
Zuzana Čížková
Charlotte Piepenhagen
Dagmar Berková
Eva Švankmajerová
Jaroslava Muchová
Jaroslava Pešicová
Ludmila Jandová
Malva Schalek
Martina Krupičková
Grete Kunz
Hana Dostalová
Helena Bochořáková-Dittrichová
Věra Janoušková
Věra Kotasová
Věra Vovsová
