Fujishima Takeji
Hokusai
Ishibashi Kazunori
Takahashi Yuichi
Takeuchi Seihō
Taki Katei
Terasaki Kogyo
Okada Saburōsuke
Okuhara Seiko
Ryusai Shigeharu
Toshihide Migita
Toyohara Chikanobu
Toyohara Kunichika
Matsumura Goshun
Matsumura Keibun
Otake Chikuha
Shiba Kōkan
Shibata Zeshin
Kikuchi Yōsai
Kimura Buzan
Kubota Beisen
Kume Keiichiro
Kunisawa Shinkurō
Kuniteru
Kuroda Seiki
Kōgyo Tsukioka
Kōno Bairei
Goseda Yoshimatsu
Kamisaka Sekka
Kanō Hōgai
Kanō Kazunobu
Kobayashi Kiyochika
Kobori Tomoto
Tomioka Tessai
Yokoi Kinkoku
Yokoyama Taikan
Sakai Hōitsu
Katsushika Ōi
Kawahara Keiga
Kawamura Kiyoo
Kawanabe Kyōsai
Nakahara Nantenbō
Rui Yoshida
Suzuki Kiitsu
Utagawa Kunisada II
Utagawa Kunisada III
Utagawa Kuniyoshi
Utagawa Yoshiiku
Utagawa Yoshitaki
Hashimoto Gahō
Hiroshige III
Watanabe Shōtei
Yamamoto Hōsui
Yamashita Rin
Ogata Gekkō
Sadahide
Tsukioka Yoshitoshi
Wada Eisaku
