Abdurrahim Buza
Adela Demetja
Agathangjel Mbrica
Andrea Kushi
Androniqi Zengo Antoniu
Genc Mulliqi
Ibrahim Kodra
Muslim Mulliqi
Mustafa Arapi
Visar Mulliqi
Zef Kolombi
Nexhmedin Zajmi
Shaqir Veseli
Fatmir Haxhiu
Vangjush Mio
Ilia Xhokaxhi
Kolë Idromeno
Maks Velo
Chatin Sarachi
Edi Rama
Masar Caka
Ndoc Martini
Sofia Zengo Papadhimitri
Xhovalin Delia
Sadik Kaceli
Sadri Ahmeti
