Achille Glisenti
Alessandro Zezzos
Andrea Landini
Antonio Ridolfi
Antonio Zoppi
Arturo Petrocelli
Carlo Randanini
Pompeo Massani
Virgilio Ripari
Vittorio Emanuele Bressanin
Federico Andreotti
Catello Palmigiano
Emanuele Mollica
Emanuele Trionfi
Enrico Gamba
Francesco Beda
Francesco Jacovacci
Giovanni Pallavera
Pietro Michis
Pio Ricci
Egisto Lancerotto
Ernesto Levorati
Eugene de Blaas
Raffaello Sorbi
Tito Conti
