Adomas Varnas
Aleksas Andriuškevičius
Alfonsas Dargis
Algirdas Petrulis
Aloyzas Stasiulevičius
Angelina Banytė
Antanas Krištopaitis
Antanas Žmuidzinavičius
Audrius Dzikaras
Henrikas Ciparis
Henrikas Natalevičius
Jolanta Kvašytė
Jonas Daniliauskas
Bronisława Łukaszewicz
Bronius Bružas
Bronius Vyšniauskas
Gediminas Akstinas
Gražina Degutytė-Švažienė
Gražutė Čepaitė-Ragauskienė
Laimutis Ločeris
Stanislovas Jančiukas
Stasys Eidrigevičius
Stasys Ušinskas
Rimantas Dūda
Rūta Jokubonienė
Vidmantas Jažauskas
Vidmantas Jusionis
Vidmantas Plečkaitis
Vigintas Stankus
Viktorija Daniliauskaitė
Viktorija Karatajūtė-Šarauskienė
Vilmantas Marcinkevičius
Violeta Laužonytė
Virginija Juršienė
Virginija Kalinauskaitė
Wincenty Sleńdziński
Wincenty Smokowski
Jovita Laurušaitė
Nijolė Būraitė
Osvaldas Jablonskis
Feliksas Jakubauskas
Galius Kličius
Kęstutis Andziulis
Kęstutis Lupeikis
Mykolas Dluskis
Valentinas Antanavičius
Franciszek Smuglewicz
Gintaras Sodeika
Gintautėlė Laimutė Baginskienė
Kanuty Rusiecki
Marija Dūdienė
Marija Mačiulienė
Marija Rima Tūbelytė-Kuhlmann
Michał Kulesza
Zinaida Irutė Dargienė
Zinaida Kalpokovaitė-Vogėlienė
Zita Kreivytė
Zofia Romer
Dalia Dokšaitė
Danguolė Brogienė
Eglė Bogdanienė
Eugenijus Kazimieras Jovaiša
Filomena Linčiūtė-Vaitiekūnienė
Kazys Abromavičius
Kazys Varnelis
Jan Krzysztof Damel
Jan Rustem
Liudas Vilimas
Ruta Jusionyte
Šarūnas Leonavičius
Šarūnas Sauka
Petras Repšys
Petronėlė Gerlikienė
Raminta Elena Kuprevičienė
Ramunė Kmieliauskaitė
Ramutė Aleksandra Jasudytė
Lilija Eugenija Jasiūnaitė
Ona Kreivytė-Naruševičienė
Remigijus Kriukas
Robertas Antinis
Romualdas Lankauskas
Vytautas Janulionis
Vytautas Kairiūkštis
Vytenis Jankūnas
Vytenis Rimkus
