Ludomir Benedyktowicz
Ludomir Sleńdziński
Ludwik Konarzewski
Ludwik Konarzewski-junior
Ludwik Misky
Ludwik Stasiak
Wilhelm August Stryowski
Wilhelm Sasnal
Witold Wojtkiewicz
Wlastimil Hofman
Wlodzimierz Ksiazek
Wojciech Fangor
Wojciech Kossak
Wojciech Sadley
Wojciech Siudmak
Wojciech Weiss
Grzegorz Stec
Gustaw Gwozdecki
Haim Goldberg
Hanna Bakuła
Jan Betley
Jan Bohuszewicz
Jan Chełmiński
Jan Cybis
Jan Henryk de Rosen
Jan Komski
Jan Rubczak
Jan Sawka
Jan Stanisławski
Jan Styka
Janice Biala
Janina Kaczkowska
Jankel Adler
Josef Herman
Karol Piegza
Kasia Domanska
Katerina Wilczynski
Moïse Kisling
Roman Artymowski
Roman Kramsztyk
Roman Opałka
Roman Zakrzewski
Ryszard Grzyb
Ryszard Sroczyński
Ryszard Wasko
Ryszard Woźniak
Thomas Pradzynski
Urszula Broll
Harry Mintz
Helena Unierzyska
Hilary Krzysztofiak
Itshak Holtz
Iwo Zaniewski
Izydor Jabłoński
Rajmund Kanelba
Marceli Harasimowicz
Marcin Kitz
Marcin Rożek
Marek Szwarc
Marek Żuławski
Margit Sielska-Reich
Resia Schor
Odo Dobrowolski
Rosław Szaybo
Wacław Borowski
Wacław Piotrowski
Wacław Szymanowski
Wacław Wąsowicz
Wacław Zawadowski
Walery Eljasz Radzikowski
