Almuth Lütkenhaus
Astrid Zydower
Augusta Kaiser
Irma Hünerfauth
Li Osborne
Carline Seiser
Magdalene Kreßner
Thea Tewi
Ingeborg Hunzinger
Rotraut Klein-Moquay
Käthe Kollwitz
Elisabeth von Esseö
Elsa Fraenkel
Emy Roeder
Gertrud Classen
Maria Petrie
Pia Stadtbäumer
Clara Westhoff
Jessika Cardinahl
Milly Steger
Tina Haim-Wentscher
Janaina Tschäpe
Susanne Tunn
Hede Bühl
Lilli Wislicenus
Lilo Peters
Marg Moll
Renée Sintenis
Rita Grosse-Ruyken
Oda Schottmüller
Sabina Grzimek
Vera Klute
