Aleksandar Srnec
Andrija Buvina
Ante Dabro
Branko Ružić
Oja Kodar
Juraj Škarpa
Oscar Nemon
Rudolf Matutinović
Vasko Lipovac
Francesco Laurana
Frane Cota
Frano Kršinić
Giovanni Dalmata
Lavoslav Torti
Lujo Bezeredi
Marija Ujević-Galetović
Simeon Roksandić
Stella Skopal
Zvonimir Lončarić
Dušan Džamonja
Radovan
Ivan Budislavić
Ivan Fijolić
Ivan Klapez
Ivan Kožarić
Ivan Meštrović
Ivan Milat-Luketa
Ivan Picelj
Ivan Sabolić
Ivo Kerdić
Sanja Iveković
Vera Dajht-Kralj
