András Beck
István Beöthy
Jolán Humenyánszky
Béla Szepes
Béni Ferenczy
Lajos Berán
Magda Frank
Sándor Ambrózy
Gyula Bezerédi
Gyula Juhász
György Zala
Jenő Bory
Miklós Borsos
Ferenc Varga
Károly Antal
Márton Izsák
Márton Váró
Gheza Vida
János Horvay
József Reményi
József Róna
László Beszédes
Marianne Csaky
Marta Pan
Ede Kallós
Ervin Bossányi
Erzsébet Schaár
Joseph Csaky
Margit Kovács
Orshi Drozdik
Rezső Móder
