Ana Vidjen
Bogosav Živković
Mirjana Isaković
Olga Jančić
Olga Jevrić
Dragan Radenović
Dragiša Stanisavljević
Dragutin Aleksić
Drinka Radovanović
Jovan Soldatović
Matija Vuković
Mihailo Stošović
Ferenc Kalmar
Simeon Roksandić
Sreten Stojanović
Stevan Knežević
Zoran Ivanović
Dušan Džamonja
Miloš Šobajić
Slavomir Miletić
Petar Ubavkić
Lilly Otasevic
Vukosava Velimirović
