Alberto Heredia
Alfredo Bigatti
Arturo Dresco
Lola Mora
Mirta Toledo
Pérez Celis
José Fioravanti
Fenia Chertkoff
Erminio Blotta
Stepan Erzia
Eduardo Barnes
Raúl Podestá
Lucio Fontana
Luis Gueilburt
Luis Perlotti
Pablo Bach
Pablo Curatella Manes
Guillermo Gianninazzi
Liliana Maresca
Roberto Aizenberg
Noemí Di Benedetto
Noemí Gerstein
Norma Bessouet
