Ana Vidjen
Antun Augustinčić
Branislav Dešković
Miroslav Kraljević
Juraj Škarpa
Vanja Radauš
Frane Cota
Frano Kršinić
Kosta Angeli Radovani
Lavoslav Torti
Lujo Bezeredi
Marin Studin
Dimitrije Popović
Slavko Brill
Hinko Juhn
Ivan Meštrović
Ivan Milat-Luketa
Ivan Picelj
Ivan Rendić
Petar Smajić
Robert Baća
Robert Frangeš-Mihanović
Vera Fischer
Vojin Bakić
