Fumio Yoshimura
Leiko Ikemura
Shokichi Hata
Toshikatsu Endō
Toshio Yodoi
Yoshioki Hasegawa
Yuhachi Ikeda
Masuo Ikeda
Seibo Kitamura
Shigeo Fukuda
Kōtarō Takamura
Naoya Takei
Kamezo Shimizu
Kooyu Fujii
Yasutake Funakoshi
Yayoi Kusama
Jitsuzo Hinago
Kazuo Kadonaga
Kenjirō Azuma
Tohl Narita
Katsura Funakoshi
Rokuzan Ogiwara
Susumu Shingu
Hidetoshi Nagasawa
Reitaro Ito
Saburo Hamada
