Alicja Buławka-Fankidejska
Andrea Zittel
Irene Broe
Olga Rapay-Markish
Tosia Malamud
Yulia Pinkusevich
Erna Viitol
Lea Davidova-Medene
Maria Cândido
Marie Bashkirtseff
Sigrid af Forselles
Claire Morgan
Dianne Beevers
Jessica Stockholder
Sam Holland
Līze Dzeguze
Katy Schimert
Nancy Davidson
Urszula Plewka-Schmidt
Harriet Zeitlin
Heide Fasnacht
Paula Zima
Tricia Ward
