Aleksandr Deyneka
Alex Shagin
Alexander Bourganov
Alexander Grabovetskiy
Alexander Kosolapov
Alexander Liberman
Alexander Ney
Alexander Opekushin
Alexander Viktorovich Egorov
Alexei Tsvetkov
Alexey Koroluck
Alexey Morosov
Anatoly Konenko
Andreas Schlüter
Andrei Kolkoutine
Andrey Drevin
Andrey Kovalchuk
Andrey Nartov
Leo Lankinen
Baqi Urmançe
Boris Korolyov
Boris Orlovsky
Misha Frid
Pyotr Tayozhny
Oleg Komov
Oleg Prokofiev
Oleg Tselkov
Viktor Hartmann
Vladimir Aleksandrovich Beklemishev
Vladimir Grig
Vladimir Izdebskiy
Vladimir Kush
Vladimir Winkler
Yuri Gorbachev
Dmitry Shorin
Matthew Chizhov
Mikhail Anikushin
Mikhail Kozlovsky
Mikhail Mikeshin
Mikhail Mikhaylovich Gerasimov
Mikhail Tsekhanovsky
Nikolai Aldunin
Nikolai Khodataev
Nikolai Tomsky
Nikolay Andreyev
Ossip Zadkine
Fedor Madurov
Fedot Shubin
Fyodor Kamensky
Fyodor Petrovich Tolstoy
Leonid Sherwood
Leonid Sokov
Lev Kerbel
Lev Razumovsky
Naoum Aronson
Valentin Galochkin
Vasili Tsereteli
Vasily Demut-Malinovsky
Vasily Kreitan
Gleb W. Derujinsky
Konstantin Medunetsky
Konstantin Simun
Léon Indenbaum
Léopold Bernhard Bernstamm
Mark Antokolsky
Pinchus Kremegne
Stepan Erzia
Stepan Pimenov
Yevgeny Vuchetich
Zinovy Vilensky
Zurab Tsereteli
Danila Vassilieff
Dashi Namdakov
Ernst Neizvestny
Serafim Sudbinin
Serge Youriévitch
Sergei Orlov
Sergei Volnukhin
Sergey Konenkov
Grigory Gurevich
Grigory Yastrebenetsky
Naum Gabo
Roman Sakin
Vadim Sidur
Étienne Maurice Falconet
Ivan Dikunov
Ivan Martos
Ivan Shadr
Ivan Vitali
Peter Clodt von Jürgensburg
Peter Fishman
Paolo Troubetzkoy
Vyacheslav Klykov
