Anastasios Nyfadopoulos
Annetta Kapon
Aristeidis Metallinos
Athanase Apartis
Ioannis Kossos
Lefteris Valakas
Memos Makris
Theodoros Papagiannis
Nikolaos Pavlopoulos
Nikos Floros
Nikos Sofialakis
Kyriakos Rokos
Leonidas Drosis
Natalia Mela
Vangelis Rinas
Vassilis Vassili
Constantin Xenakis
Constantine Andreou
Costas Valsamis
Georgios Bonanos
Georgios Vroutos
Konstantinos Dimitriadis
Lazaros Sochos
Lisa Sotilis
Lydia Venieri
Marina Karella
Michael Tombros
Yannoulis Chalepas
Yiannis Melanitis
Christos Kapralos
Chryssa
Joannis Avramidis
Socrate Sidiropoulos
Thodoros Papayiannis
Heleni Polichronatou
Pavlos Prosalentis
Petros Roumpos
Panayiotis Vassilakis
