Abi Masatora
Kōtokuzan Tarō
Myōbudani Kiyoshi
Myōgiryū Yasunari
Mōkonami Sakae
Enazakura Tooru
Endō Shōta
Enhō Akira
Ichinojō Takashi
Ichinoya Mitsuru
Ichiyamamoto Daiki
Ikioi Shōta
Jōkōryū Takayuki
Jūmonji Tomokazu
Kamikaze Shoichi
Kanechika Kazunori
Kanenohana Takeo
Kaneshiro Kōfuku
Kokkai Futoshi
Komafudō Daisuke
Kongō Masahiro
Konishiki Yasokichi
Konishiki Yasokichi I
Konuma Katsuyuki
Mainoumi Shūhei
Meisei Chikara
Midorifuji Kazunari
Tokibayama Toshio
Tokitenkū Yoshiaki
Tokitsunada Hironori
Tokitsuumi Masahiro
Tokitsuyama Jin'ichi
Tokusegawa Masanao
Tokushinhō Motohisa
Tokushōryū Makoto
Tomoefuji Toshihide
Tomokaze Yūta
Tomonohana Shinya
Chikubayama Masakuni
Chiyoarashi Yoshinobu
Chiyomaru Kazuki
Chiyonofuji Mitsugu
Chiyonokuni Toshiki
Chiyonoyama Masanobu
Chiyoshōma Fujio
Chiyotaikai Ryūji
Chiyotairyū Hidemasa
Chiyotenzan Daihachirō
Chiyozakura Teruo
Chiyoōtori Yūki
Daiamami Genki
Daidō Kenji
Daieishō Hayato
Daigaku Munemasa
Daigō Kenshi
Daiju Hisateru
Daijuyama Tadaaki
Daikirin Takayoshi
Daimanazuru Kenji
Daimonji Kenji
Dairyū Tadahiro
Dairyūgawa Kazuo
Daishi Nobuyuki
Daishōhō Masami
Daishōmaru Shōgo
Daishōyama Naoki
Daitetsu Tadamitsu
Daiyū Tatsumi
Daizen Takahiro
Dewaminato Rikichi
Dewanishiki Tadao
Dewanohana Kuniichi
Dewanohana Yoshitaka
Jingaku Takashi
Jinmaku Kyūgorō
Kenkō Satoshi
Minanogawa Tōzō
Minatofuji Takayuki
Raiden Tameemon
Sakahoko Nobushige
Sakaigawa Namiemon
Sakaizawa Kenichi
Tōhakuryū Masahito
Tōki Susumu
Tōryū Kenji
Kagamiiwa Zenshirō
Kagamisato Kiyoji
Kagamiō Hideoki
Kagayaki Taishi
Kaidō Yasuhiro
Kaihō Ryōji
Kaiketsu Masateru
