Drewria
Gnetum gnemon
Ephedra alata
Ephedra altissima
Ephedra aspera
Ephedra boelckei
Ephedra breana
Ephedra californica
Ephedra cutleri
Ephedra foliata
Ephedra fragilis
Ephedra funerea
Ephedra gerardiana
Ephedra holoptera
Ephedra intermedia
Ephedra lomatolepis
Ephedra multiflora
Ephedra nevadensis
Ephedra przewalskii
Ephedra strobilacea
Ephedra torreyana
Ephedra trifurca
Ephedra viridis
