Aki Yashiro
Akira Fuse
Ayako Fuji
Ayumi Ishida
Misaki Iwasa
Miyuki Nakajima
Subaru Shibutani
Takashi Hosokawa
Sarbjit Singh Chadha
Sayuri Ishikawa
Shinobu Otowa
Shiro Miya
Yoshi Ikuzō
Yoshimi Tendo
Yoshio Tabata
You Yokoyama
Yuki Maeda
Yukio Hashi
Yutaka Ooe
Yū Aku
Fuyumi Sakamoto
Kyōhei Tsutsumi
Maya Sakura
Koga Masao
Michiya Mihashi
Chiemi Eri
Chiyoko Shimakura
Eiko Segawa
Jero
Mina Aoe
Masako Mori
Masao Sen
Hachiro Kasuga
Kiyoko Suizenji
Kiyoshi Hikawa
Kiyoshi Maekawa
Naoko Ken
Naomi Chiaki
Natsuko Godai
Hideo Murata
Hiroshi Itsuki
Hiroshi Miyama
Saburō Kitajima
Sachiko Kobayashi
