Alkistis Protopsalti
Andriana Babali
Babis Stokas
Babis Tsertos
George Dalaras
Nikos Portokaloglou
Nikos Xilouris
Despina Olympiou
Keti Chomata
Vangelis Trigas
Costas Tsicaderis
Eleonora Zouganeli
Giannis Spanos
Giorgos Zographos
Kostas Hatzis
Melina Aslanidou
Michalis Hatzigiannis
Stavros Xarchakos
Yiannis Parios
Dimitra Galani
Filippos Pliatsikas
Tzeni Vanou
Manos Hatzidakis
Haris Alexiou
Rena Koumioti
