Amanda Sidwall
Ann-Sophie Qvarnström
Anna-Clara Tidholm
Anna Erlandsson
Anna Fiske
Anna Friberger
Anna Höglund
Anna Maria Thelott
Bea Uusma
Birgitta Stenberg
Brita Granström
Sonja Härdin
Cecilia Torudd
Inga Borg
Inger Edelfeldt
Jenny Nyström
Thérèse Ekblom
Elsa Beskow
Maria Friberg
Pija Lindenbaum
Signe Hammarsten-Jansson
Eva Eriksson
Joanna Rubin Dranger
Minna Sundberg
Gunilla Bergström
Gunilla Wolde
Ruth Milles
Helena Henschen
Helena Willis
