Aco Mavec
Alenka Sottler
Andrej Trobentar
Ančka Gošnik Godec
Boris Kobe
Božo Kos
Miroslav Šuput
Stanko Kotnik
Mojca Osojnik
Savo Sovre
Gvido Birolla
Jelka Reichman
Matjaž Schmidt
Miki Muster
Milan Bizovičar
Milko Bambič
Nikolaj Omersa
Roža Piščanec
France Mihelič
France Podrekar
Kamila Volčanšek
Kostja Gatnik
Maksim Gaspari
Maksim Sedej
Marij Pregelj
Marija Lucija Stupica
Marjan Amalietti
Marjan Manček
Marjanca Jemec Božič
Melita Vovk
Tone Kralj
Tone Žnidaršič
Zvonko Čoh
Ciril Horjak
Cita Potokar
Damijan Stepančič
Danijel Demšar
Dušan Muc
Dušan Petrič
Evgen Sajovic
Jakob Savinšek
Rado Krošelj
Slavko Pengov
Janez Vidic
Suzana Bricelj
Svetlana Makarovič
Štefan Planinc
Ivan Seljak
Ivan Čargo
Ive Šubic
Lidija Osterc
Lila Prap
