Adrienne D'Ambricourt
Agnès Souret
Alice Tissot
Amélie Diéterle
Andrée Brabant
Andrée Lafayette
Anna Held
Anna Lefeuvrier
Annabella
Arlette Marchal
Françoise Rosay
Irène Bordoni
Berthe Jalabert
Blanche Montel
Bleuette Bernon
Bérénice Bejo
Hélène Darly
Héléna Manson
Louise Lagrange
Madeleine Guitty
Madeleine Milhaud
Madeleine Renaud
Mistinguett
Musidora
Mona Goya
Polaire
Yvette Andréyor
Yvette Guilbert
Yvonne Printemps
Yvonne de Bray
Dolly Davis
Jeanne Brindeau
Jeanne Bérangère
Jeanne Delvair
Jeanne Helbling
Jeanne Loury
Jeanne Marie-Laurent
Jehanne d'Alcy
Josette Andriot
Josette Day
Josseline Gaël
Julienne Mathieu
Juliette Clarens
Mathilde Comont
Denise Grey
Denise Legeay
Fernande Albany
Gabrielle Colonna-Romano
Gabrielle Fontan
Gabrielle Robinne
Gabrielle Réjane
Gaby Deslys
Gaby Morlay
Natalia Vladimirovna Trouhanowa
Stacia Napierkowska
Valentine Tessier
Catherine Fonteney
Catherine Hessling
Colette Darfeuil
Emmy Lynn
France Dhélia
Francine Mussey
Georgette Leblanc
Germaine Dermoz
Germaine Michel
Germaine Reuver
Germaine Rouer
Germaine Sablon
Gina Manès
Gina Palerme
Gina Relly
Ginette Maddie
Illa Meery
Maria Ventura
Marie Bell
Marie Epstein
Marie Glory
Marthe Mellot
Marthe Vinot
Michèle Verly
Pierrette Caillol
Pilar-Morin
Simone Cerdan
Simone Genevois
Simone Mareuil
Simone Vaudry
Sylvie
Claude France
Claude Mérelle
Cécile Didier
Cécile Sorel
Danièle Parola
Fabienne Fabrèges
Florelle
Huguette Duflos
Rachel Devirys
Lucienne Bogaert
Lucienne Legrand
Lucy Gérard
Mary Marquet
Mary Odette
Maryse Dauvray
Jane Faber
Jane Marken
Jane Pierson
Janine Merrey
Nadia Sibirskaïa
Suzanne Bianchetti
Suzanne Dehelly
Suzanne Delvé
Suzanne Desprès
Suzy Pierson
Suzy Prim
Suzy Vernon
Ève Francis
Édith Jéhanne
Paule Andral
Paulette Noizeux
Pauline Carton
Lili Damita
Lilian Constantini
Marcelle Géniat
Marcelle Monthil
Marcelle Pradot
Marcelle Praince
Marguerite Moreno
Marguerite de Morlaye
Renée Adorée
Renée Carl
Renée Héribel
Renée Jeanne Falconetti
Renée Passeur
Renée Sylvaire
Rita Jolivet
Odette Talazac
Rose Dione
Sarah Bernhardt
