Amit Farkash
Anita Ellis
Anna Silk
Irene Pavloska
Barbara Dunkelman
Belinda Metz
Brigitte Bako
Caissie Levy
Cara Pifko
Talia Schlanger
Tamara Podemski
Tara Strong
Neve Campbell
Sarah Levy
Shira Lazar
Sonia Benezra
Thea Rosenquist
Dora Wasserman
Jenn Proske
Jennifer Podemski
Nicole Appleton
Rebecca Addelman
Samantha Weinstein
Meaghan Rath
Mia Kirshner
Natalie Appleton
Stacey Farber
Catherine Reitman
Corinne Orr
Emmanuelle Chriqui
Frances Bay
Gloria Reuben
Lauren Collins
Linda Kash
Lisa Lambert
Sylvia Lennick
Dalila Bela
Diane Flacks
Jaclyn Linetsky
Jessalyn Gilsig
Joanna Gleason
Rachelle Lefevre
Lani Billard
Hope Garber
Katya Virshilas
Susan Douglas Rubeš
Liane Balaban
Ophira Eisenberg
Norma Shearer
Rosa Labordé
Sarah Edmondson
Sarah Goldberg
