Aideu Handique
Amrita Gogoi
Angoorlata Deka
Asha Bordoloi
Ashima Bhalla
Mahika Sharma
Moloya Goswami
Rimpi Das
Zerifa Wahid
Seema Biswas
Devoleena Bhattacharjee
Dipannita Sharma
Rati Pandey
Jamuna Barua
Kashmiri Saikia Baruah
Urmila Mahanta
Rajni Basumatary
Panchi Bora
Parineeta Borthakur
Plabita Borthakur
Pranami Bora
Prastuti Parashar
Priyanka Bora
Rewati Chetri
Sagarika
Santwana Bordoloi
