Aletta Bezuidenhout
Alice Krige
Anel Alexander
Bianca Amato
Candîce Hillebrand
Taubie Kushlick
Pearl Argyle
Peggy Phango
Sthandiwe Kgoroge
Yvonne Bryceland
Dolly Rathebe
Dorothy Black
Miemsie Retief
Nicola Formby
Trevyn McDowell
Denise Newman
Lesley-Ann Brandt
Natalia da Rocha
Elize Cawood
Justine Waddell
Linda Mvusi
Lydia Lindeque
Shaleen Surtie-Richards
Sybil Jason
Charlize Theron
Daphne Courtney
Daphney Hlomuka
Elaine Proctor
Esta TerBlanche
Mary Twala
Jana Cilliers
Katharine Blake
Harriet Manamela
Lillian Dube
Nthati Moshesh
Xoliswa Sithole
Sandra Prinsloo
