A. J. Langer
Abby Dalton
Abigail Mason
Agnes Bruckner
Ahna Capri
Ai
Aija Tērauda
Aimee Teegarden
Aja Naomi King
Alanis Morissette
Alex McKenna
Alexa Demie
Alexandra Cassavetes
Alexandra Dreyfus
Alexandra Hay
Alexandra Hedison
Alexandra Krosney
Alexandra Kyle
Alexandra Silber
Alexis Arquette
Alexis Haines
Alexis Tipton
Ali Hillis
Alice Nunn
Alison Haislip
Alison Sudol
Alison Sweeney
Allegra Curtis
Allison Balson
Allison Keith
Allison Mack
Alma Carroll
Altovise Davis
Alyson Court
Alyson Hannigan
Alyssa Diaz
Amanda Blake
Amanda Bynes
Amanda Foreman
Amanda Fuller
Amanda McBroom
Amanda Seales
Amanda Winn-Lee
Amandla Stenberg
Amber J. Lawson
Amber Lee Connors
Amber Riley
Amber Stevens West
Amelia Rose
Amelia Rose Blaire
America Ferrera
America Olivo
Amy O'Neill
Amy Smart
Anairis Quiñones
Ananda Jacobs
Andrea Barber
Andrea Darvi
Andrea Gabriel
Angela Dohrmann
Angela Stevens
Angelina Jolie
Angelique Bates
Angelique Pettyjohn
Angelle Brooks
Angelyne
Anita Thompson Dickinson Reynolds
Ann B. Davis
Ann Magnuson
Ann Tyrrell
Anna Clendening
Anna Easteden
Anna May Wong
Anndi McAfee
Anne-Marie Johnson
Anne Archer
Anne Francis
Anne Nagel
Anne Winters
Annette Charles
Annie Lee
Annie Monroe
Annie Wood
Anulka Dziubinska
April Winchell
Arden Rose
Aria Giovanni
Ariana Savalas
Arlene Tur
Ashley Judd
Ashley Nicole Black
Ashley Olsen
Atossa Leoni
Audie England
Audra Lindley
Audrey Young
India Eisley
Ion Overman
Ione Skye
Irene Gilbert
Irene Hervey
Irene Keng
Irene Tedrow
Irene Worth
Irina Björklund
Iris Adrian
Isabella Rice
Issa Rae
Joey King
Joi Lansing
Lee Meriwether
Lee Remick
Leigh Ann Orsi
Lela Bliss
Lela Lee
Lela Rochon
Ayda Field
Ayla Kell
Azie Tesfai
Azura Skye
Bahar Soomekh
Barbara Bain
Barbara Billingsley
Barbara Brown
Barbara Garrick
Barbara Jean Wong
Barbara Lyon
Barbara Whiting
Barbra Streisand
Barrie Chase
Beanie Feldstein
Beau Dunn
Beau Garrett
Bess Motta
Bethel Leslie
Betsy Drake
Betty Blythe
Betty White
Beverley Mitchell
Beverly Garland
Beverly Washburn
Beverly Wills
Bianca Lawson
Billie Lourd
Blair Tefkin
Blake Lindsley
Blake Lively
Bonnie Franklin
Breanna Yde
Brenda Benet
Brenda Scott
Brenda Song
Briana Evigan
