Aggeliki Daliani
Aleka Stratigou
Angela Ismailos
Anna Panayiotopoulou
Betty Moschona
Mirka Yemendzakis
Penny Casdagli
Victoria Haralabidou
Julia Anastasopoulos
Vaso Laskaraki
Eleni Menegaki
Eleni Rantou
Kora Karvouni
Maria Foka
Maria Nafpliotou
Marinella
Stella Stratigou
Chrisoula Christou
Christina Kalogerikou
Mina Orfanou
Mary Chronopoulou
Mary Giatra Lemou
Mary Lalopoulou
Katerina Lehou
Katerina Stikoudi
Rena Dor
Rena Stratigou
Rena Vlahopoulou
Xenia Kalogeropoulou
Vera Zavitsianou
