Adeyto
Marie Dompnier
Marie Dubois
Marie Guillard
Marie Laforêt
Marie Mansart
Marie Mouté
Marie Rivière
Marie Versini
Marie de Villepin
Marika Green
Marilou Berry
Marilyn Lima
Marina Foïs
Marina Vlady
Marine Delterme
Marion Cotillard
Marion Game
Marion Laine
Marthe Mercadier
Marthe Villalonga
Micheline Luccioni
Michèle Bernier
Michèle Girardon
Michèle Laroque
Michèle Moretti
Silvia Monfort
Simone Signoret
Sylvie Joly
Yoko Tani
Zita Hanrot
Zouzou
Zoé Félix
Àstrid Bergès-Frisbey
Charlotte Valandrey
Chiara de Luca
Chloé Dumas
Chloé Hollings
Chloé Jouannet
Chloé Lambert
Christa Théret
Christine Carère
Claire Guyot
Claire Keim
Claire Nebout
Clara Bellar
Clarisse Albrecht
Claude Gensac
Claude Jade
Claude Nollier
Claude Perron
Claudia Tagbo
Claudine Longet
Clio Goldsmith
Clotilde Courau
Clotilde Hesme
Clotilde Mollet
Clémence Poésy
Clémentine Célarié
Clémentine Poidatz
Cécile Cassel
Cécile Paoli
Cécile Vassort
Céline Sallette
Dalida
Danielle Darrieux
Danielle De Metz
Danièle Delorme
Dany Carrel
Diane Fleri
Edith Ker
Eglantine Rembauville
Estelle Skornik
Eva Ionesco
Fabienne Carat
Firmine Richard
Florence Darel
Florence Guérin
Florence Pernel
Florence Thomassin
Jacqueline Duc
Jacqueline Maillan
Jocelyne Boisseau
Mimie Mathy
Morgane Polanski
Rachel Weinberg
Raffaëla Anderson
Raphaëlle Boitel
Salomé Stévenin
Cristiana Reali
Kalki Koechlin
Laura Weissbecker
Laure Duthilleul
Laure Killing
Lucie Jeanne
Lucie Lucas
Lucienne Moreau
Ludivine Sagnier
Ludmila Mikaël
Macha Méril
Martine Brochard
Martine Chevallier
Martine Pascal
Martine Sarcey
Maryse Martin
Guilaine Londez
Hande Kodja
Janine Crispin
Karole Rocher
Katherine Kath
Liza Manili
Lizzie Brocheré
Nadia Barentin
Nadia Farès
Nadia Tereszkiewicz
Nadine Alari
Nadine Basile
