Aagot Børseth
Aase Bye
Ada Kramm
Agnes Mowinckel
Aud Egede-Nissen
Henny Skjønberg
Johanne Voss
Betzy Holter
Botten Soot
Lalla Carlsen
Sonja Mjøen
Ellen Isefiær
Ellen Sinding
Erna Schøyen
Gerd Grieg
Signe Danning
Sigrun Svenningsen
Dagmar Myhrvold
Didi Holtermann
Ragna Wettergreen
Ragnhild Hald
Greta Nissen
Katie Rolfsen
Lizzie Florelius
Harriet Bosse
Lillebil Ibsen
