Abigail Mason
Adele Mara
Adrienne Frantz
Anna Rose Kessler Moore
Ashley Johnson
Ashley Park
Ava Michelle
Iris Kyle
Belle Mitchell
Betsy Brandt
Britta Phillips
Carrie Keranen
Loretta Long
Lorraine Miller
Madonna
Maggie Pierce
Patricia Ellis
Tara Platt
Teal Marchande
Olivia Brown
Sasha Compère
Sophina Brown
Tonya Kinzinger
Vivian Martin
Zelda Sears
Celia Keenan-Bolger
Doris Packer
Doro Merande
Jean Engstrom
Jennifer Laura Thompson
Judith Ivey
Julie Harris
Julie Parrish
June MacCloy
Nicole Forester
Demene Hall
Faye Grant
Felicity Huffman
Fern Persons
Gail Kobe
Mayaeni
Colette Nelson
Colleen Moore
Elizabeth Berkley
Elizabeth Reaser
Erin Darke
Erin Dilly
Francesca James
Grace Kimball
Grace Lee Whitney
Karen Fraction
Karen Ziemba
Laurette Spang-McCook
Linda Lawson
Lisa Cerasoli
Lisa LoCicero
Lule Warrenton
Maribeth Monroe
Marilyn Nash
Marion Hutton
Martha Vickers
Megan Grano
Melissa Molinaro
Michelle Berube
Sicily Sewell
Spencer Redford
Stephanie Sheh
Yasmine Hanani
Charlotte Mineau
Christie Brinkley
Christine Lahti
Deborah Goodrich
Dey Young
Edith Ellis
Jacqueline Kim
Jaime Ray Newman
Jessy Hodges
Jill Ritchie
Rachel DeWoskin
Rachel Reenstra
Cynthia Watros
Laura Innes
Mandalynn Carlson
Mary Jackson
Mary Lynn Rajskub
Mary Stein
Winifred Deforest Coffin
Jordan Trovillion
Kate Reinders
Kate Upton
Kathleen Kirkham
Kathleen Rose Perkins
Katie Chonacas
Naima Mora
Nancy Kovack
Ruth McDevitt
Ruth Nelson
Ruth Terry
Susan Diol
Susan May Pratt
Susie Garrett
Sutton Foster
Harriet Hammond
Heather Raffo
Hilary Thompson
Ivana Miličević
Margery Beddow
Paigion
Sandra Bernhard
Sarah Habel
Verna Hillie
