Akofa Edjeani Asiedu
Ama Ampofo
Amanda Annan
Beverly Afaglo
Vicky Zugah
Juliet Asante
Nikoletta Samonas
Kyeiwaa
Gloria Sarfo
Grace Omaboe
Lydia Forson
Marie Humbert
Michelle Attoh
Zynnell Zuh
Clara Amoateng Benson
Jackie Appiah
Jackline Mensah
Salma Mumin
Kalsoume Sinare
MaameYaa Boafo
Roselyn Ngissah
