Adrianna Biedrzyńska
Agata Kulesza
Agnieszka Dygant
Agnieszka Grochowska
Agnieszka Sienkiewicz
Agnieszka Sitek
Agnieszka Suchora
Agnieszka Truskolaska
Agnieszka Warchulska
Agnieszka Włodarczyk
Aleksandra Konieczna
Aleksandra Śląska
Aneta Zając
Aniela Aszpergerowa
Anna Dymna
Anna Ilczuk
Anna Kerth
Anna Polony
Anna Prucnal
Anna Seniuk
Antonina Girycz
Ina Benita
Irena Anders
Irena Eichlerówna
Irena Górska-Damięcka
Irena Kwiatkowska
Irena Laskowska
Irena Skwierczyńska
Irena Trapszo
Jolanta Fraszyńska
Jolanta Lothe
Lena Żelichowska
Barbara Grabowska
Barbara Horawianka
Barbara Jonak
Barbara Krafftówna
Barbara Nawratowicz
Beata Poźniak
Bożena Dykiel
Bożena Kurowska
Grażyna Błęcka-Kolska
Grażyna Szapołowska
Loda Niemirzanka
Magdalena Mielcarz
Magdalena Różczka
Magdalena Walach
Magdalena Zawadzka
Stanisława Angel-Engelówna
Stanisława Celińska
Stanisława Perzanowska
Stanisława Wysocka
Tamara Arciuch
Teresa Budzisz-Krzyżanowska
Pola Negri
Dorota Segda
Julia Kijowska
Julia Krynke
Nina Polan
Gabriela Kownacka
Gabriela Zapolska
Kinga Preis
Krystyna Ankwicz
Krystyna Feldman
Krystyna Janda
Krystyna Mikołajewska
Krystyna Sienkiewicz
Krystyna Zachwatowicz
Leontyna Halpertowa
Małgorzata Braunek
Małgorzata Pieczyńska
Małgorzata Zajączkowska
Natasza Urbańska
Wanda Jarszewska
Wiesława Mazurkiewicz
Elżbieta Barszczewska
Elżbieta Czyżewska
Elżbieta Romanowska
Emilia Krakowska
Ida Kamińska
Iga Cembrzyńska
Ilona Ostrowska
Maja Ostaszewska
Maria Balcerkiewiczówna
Maria Chmurkowska
Maria Dulęba
Maria Garbowska-Kierczyńska
Maria Gorczyńska
Maria Gładkowska
Maria Malanowicz-Niedzielska
Maria Malicka
Marta Lipińska
Marta Żmuda Trzebiatowska
Mieczysława Ćwiklińska
Stefania Grodzieńska
Zofia Czerwińska
Zofia Jaroszewska
Zofia Merle
Zuzanna Szadkowski
Dagmara Domińczyk
Danuta Stenka
Danuta Szaflarska
Edyta Jungowska
Ester Rachel Kamińska
Ewa Dałkowska
Jadwiga Andrzejewska
Jadwiga Barańska
Jadwiga Chojnacka
Jadwiga Jankowska-Cieślak
Jadwiga Kuryluk
Jadwiga Smosarska
Jaga Juno
Joanna Hofman
Joanna Koroniewska
Joanna Kulig
Joanna Moro
Joanna Pacuła
Joanna Szczepkowska
Joanna Trzepiecińska
Mira Zimińska
Kalina Jędrusik
Halina Kwiatkowska
Hanka Ordonówna
Hanna Śleszyńska
Janina Janecka
Katarzyna Bujakiewicz
Katarzyna Chrzanowska
Katarzyna Łaniewska
Klara Segałowicz
Roma Gąsiorowska
Ruza Wenclawska
Tekla Trapszo
Urszula Modrzyńska
Helena Buczyńska
Helena Dąbrowska
Helena Grossówna
Helena Modjeska
Helena Zarembina
Izabela Kuna
Izabela Trojanowska
Patrycja Soliman
Lidia Korsakówna
Lidia Wysocka
Lidia Zamkow
Reizl Bozyk
Rena Rolska
Renata Drössler
