Adria Santana
Alina Rodríguez
Amalia Aguilar
Amelia Vargas
Antonia Rey
Irela Bravo
Beatriz Valdés
Blanquita Amaro
Ninón Sevilla
Idalia Anreus
Marilyn Pupo
Zully Montero
Chelo Alonso
Daisy Granados
Estelita Rodriguez
Esther Borja
Eusebia Cosme
María Antonieta Pons
Hilda Oates
Perla Aguiar
Rita Montaner
Rosa Carmina
Verónica Lynn
Wendy Guerra
