Agnes Windeck
Angela Roy
Anja Knauer
Anna Dammann
Anna Führing
Anna Katharina Schwabroh
Anneliese Kaplan
Anny Ahlers
Frigga Braut
Johanna Gastdorf
Johanna Liebeneiner
Camilla Spira
Carla Hagen
Carolin Fortenbacher
Caroline Beil
Lotte Flack
Tatjana Patitz
Monica Bleibtreu
Peggy Parnass
Sophie Charlotte
Theresa Underberg
Vijessna Ferkic
Yvonne Mai
Dolly Haas
Doris Kunstmann
Inge Meysel
Ingeborg Christiansen
Ingrid Andree
Jenny Gröllmann
Julia Dahmen
Mathilde Cottrelly
Milka Loff Fernandes
Nikola Kastner
Nina Bott
Nina Petri
Käte Alving
Valerie Boothby
Collien Ulmen-Fernandes
Cosma Shiva Hagen
Elisabeth Flickenschildt
Emmy Göring
Erna Sellmer
Gisela Trowe
Karen Friesicke
Karin Hardt
Laya Raki
Maria Brockerhoff
Maria Loja
Marianne Kehlau
Toni Garrn
Christa Siems
Christiane Krüger
Dary Holm
Eva Habermann
Evelyn Hamann
Jessika Cardinahl
Laura Karasek
Lucie Pohl
Maly Delschaft
Mary Kid
Grete Diercks
Hannah Herzsprung
Hannelore Bollmann
Hannelore Hoger
Katharina Mayberg
Ruth Stephan
Susan Sideropoulos
Susanne Lothar
Ursula Thiess
Änne Bruck
Hedwig Raabe
Heidi Kabel
Helga Feddersen
Maren Eggert
Margarete Lanner
Pamela Knaack
Sandra Borgmann
Wera Liessem
