Ai Xia
Alice Chan
Anchee Min
Angelababy
Irene Tsu
Irene Yah-Ling Sun
Li Ching
Li Jun Li
Li Li-hua
Li Lili
Li Lingyu
Li Muchen
Betty Loh Ti
Bi Chunfang
Cao Cuifen
Lan Yan
Lan Yingying
Miyuki Hatoyama
Sun Li
Meng Xiaodong
Olga Georges-Picot
Qin Yi
Vivian Wu
Yu Shuxin
Yuan Bingyan
Yumiko Cheng
Chang Ch'ung-ho
Chang Hsiao-yen
Du Juan
Josephine Koo
Josephine Siao
Judy Dan
Nina Li Chi
Rebecca Pan
Ruan Lingyu
Shi Yihong
Tiffany Tang
Fei Qinyuan
Gong Qiuxia
Kristy Yang
Kym
Vanessa Yeung
Wang Danfeng
Wu Jing
Wu Yingyin
Wu Yue
Cora Miao
Emi Suzuki
Leanne Li
Linda Brent
Lydia Shum
Shadow Zen
Yin Mingzhu
Zhang Yu
Zhou Ying
Chen Xinyu
Cheng Pei-pei
Chin Tsi-ang
Dai Jiaoqian
Dai Meng
Jade Xu
Jiang Shuying
Jin Di
Jing Lusi
Joan Chen
Lu Jinhua
Ma Yili
Guo Xiaoting
Hong Peiyun
Hu Die
Hua Wenyi
Huang Shengyi
Huang Yi
Kitty Chen
Liza Wang
He Lin
Pauline Chan Bo-Lin
Phan Wait Hong
Pan Hong
Papi Jiang
Xi Meijuan
Xia Meng
Xia Yi
Xu Lai
Xuan Jinglin
Yang Naimei
Tsai Chin
