Ada "Bricktop" Smith
Alberta Gallatin
Allison Hayes
Amelita Ward
Ann Crumb
Ann Magnuson
Ashlie Rhey
Henrietta Crosman
Belle Boyd
Beverley Sitgreaves
Brooklyn Nelson
Virginia Fox
Jean Carson
Jennifer Garner
Jeramie Rain
Joyce DeWitt
Shelley Taylor Morgan
Kristen Ruhlin
Conchata Ferrell
Cora Sue Collins
Elizabeth Lawrence
Elizabeth McLaughlin
Karen Austin
Lina Basquette
Dagmar
Evans Evans
Jessica Lynch
Joan Banks
Joanne Dru
Rumana Molla
Patsy Parsons
Patty Weaver
