Adile Naşit
Afife Jale
Ahu Tuğba
Ahu Türkpençe
Ajda Pekkan
Aliye Rona
Arzu Yanardağ
Aydan Şener
Ayla Algan
Ayla Arslancan
Ayşegül Aldinç
Ayşen Gruda
Ayşin Atav
Azra Akın
Belgin Doruk
Berna Laçin
Binnur Kaya
Cahide Sonku
Hülya Avşar
Hülya Koçyiğit
Hümeyra
Lale Oraloğlu
Meltem Cumbul
Meral Okay
Pelin Batu
Songül Öden
Toto Karaca
Yıldız Kaplan
Yıldız Kenter
Zeynep Değirmencioğlu
Zeynep Tedü
Ceyda Ateş
Dolunay Soysert
Gönül Yazar
Gülben Ergen
Güler Ökten
Gülşen Bubikoğlu
Güven Hokna
Nehir Erdoğan
Neriman Köksal
Neyyire Neyir
Seda Sayan
Demet Akbağ
Demet Evgar
Deniz Akkaya
Derya Alabora
Fatma Girik
Feri Cansel
Feriha Tevfik
Gamze Özçelik
Goncagül Sunar
Kınar Sıvacıyan
Müjde Ar
Mehtap Ar
Serpil Barlas
Serra Yılmaz
Yaprak Özdemiroğlu
Yasemin Kozanoğlu
Yelda Reynaud
Yeşim Büber
Yonca Evcimik
Zuhal Olcay
Eylem Şenkal
Filiz Akın
Filiz Taçbaş
Jale Aylanç
Jale Birsel
Mine Teber
Türkan Şoray
Oya Aydoğan
Semiramis Pekkan
Seren Serengil
Hale Soygazi
Hande Ataizi
Muhterem Nur
Nazan Saatci
Nazan Şoray
Nebahat Çehre
Vahide Perçin
Çağla Kubat
Çolpan İlhan
Özge Özberk
Özgü Namal
İdil Fırat
Şebnem Dönmez
Şebnem Sönmez
Şehnaz Dilan
Şenay Gürler
Şevval Sam
Hatice Aslan
Itır Esen
Perran Kutman
Nur Sürer
Nurgül Yeşilçay
Sanem Çelik
Tuba Ünsal
Tuğba Özay
