Allison Janney
Anne Hathaway
Ariana DeBose
Billie Whitelaw
Cate Blanchett
Maggie Smith
Miranda Richardson
Miriam Margolyes
Mo'Nique
Patricia Arquette
Viola Davis
Youn Yuh-jung
Celia Johnson
Ingrid Bergman
Jennifer Connelly
Jennifer Hudson
Jennifer Lawrence
Jenny Agutter
Judi Dench
Julie Walters
Juliette Binoche
Maureen Stapleton
Tilda Swinton
Kristin Scott Thomas
Valentina Cortese
Whoopi Goldberg
Catherine Zeta-Jones
Geraldine Page
Michelle Pfeiffer
Sigourney Weaver
Cloris Leachman
Diane Ladd
Jodie Foster
Rachel Roberts
Rachel Weisz
Laura Dern
Jamie Lee Curtis
Kate Nelligan
Kate Winslet
Liz Smith
Rohini Hattangadi
Susan Wooldridge
Susannah York
Helena Bonham Carter
Penélope Cruz
Margaret Leighton
Renée Zellweger
Octavia Spencer
Rosanna Arquette
Thandiwe Newton
