Ana Sofrenović
Anica Dobra
Anita Mančić
Beba Lončar
Bojana Novakovic
Bojana Stefanović
Branka Katić
Branka Pujić
Mirjana Joković
Mirjana Karanović
Mirka Vasiljević
Tamara Dragičević
Tamara Vučković
Tanja Bošković
Olivera Katarina
Olivera Marković
Vladislava Milosavljević
Vladislava Đorđević
Zelda Tinska
Dragana Atlija
Dubravka Mijatović
Jelena Gavrilović
Jelena Tinska
Jelica Sretenović
Jelisaveta Orašanin
Milena Dravić
Neda Spasojević
Seka Sablić
Nataša Ninković
Vanja Ejdus
Gordana Gadžić
Maja Mandžuka
Marija Karan
Danica Curcic
Danina Jeftić
Dušica Žegarac
Jadranka Pejanović
Rahela Ferari
Hristina Popović
Katarina Radivojević
Katarina Žutić
Ljiljana Blagojević
Ljuma Penov
Ružica Sokić
Snežana Bogdanović
Suzana Mančić
Svetlana Bojković
Paulina Manov
Vera Čukić
Vesna Trivalić
Vesna Čipčić
