Ann Elliot
Anna Marcella Giffard
Anna Maria Seymour
Henrietta Morgan
Isabella Mattocks
Louisa Fontenelle
Sarah Thurmond
Sarah Wewitzer
Fanny Furnival
Letitia Cross
Elizabeth Bannister
Elizabeth Cooper
Elizabeth Hartley
Elizabeth Vincent
Elizabeth Willis
Georgina George
Gertrude Mahon
Maria Gibbs
Charlotte Goodall
Esther Brand
Mary Bradshaw
Mary Elmy
Mary Heron
Mary Powell
Mary Whitfield
Mary Willis
Jane Egleton
Jane Rogers
Mrs Gardner
Mrs Rock
Mrs Woodham
Susanna Mountfort
Harriet Pye Esten
Harriett Litchfield
Hester Santlow
Margaret Farren
Margaret Kennedy
Margaret Mills
Margaret Saunders
Rosemond Mountain
Sarah Bezra Nicol
Sarah Hamilton
