Ada Lundver
Aino Seep
Aino Talvi
Aire Koop
Aksella Luts
Amalie Konsa
Anne Margiste
Anne Reemann
Anu Lamp
Asta Vihandi
Astrid Lepa
Irene von Meyendorff
Ita Ever
Leida Rammo
Leila Säälik
Lia Laats
Betty Kuuskemaa
Laine Mesikäpp
Laine Mägi
Terje Pennie
Merle Palmiste
Merle Talvik
Meta Luts
Olli Ungvere
Riina Hein
Sophie Sooäär
Viire Valdma
Viiu Härm
Ines Aru
Kersti Heinloo
Kersti Kreismann
Kiiri Tamm
Kärt Tomingas
Külli Palmsaar
Külli Teetamm
Külliki Saldre
Ellen Alaküla
Ellen Kaarma
Ellen Liiger
Elsa Ratassepp
Ene Järvis
Erika Kaljusaar
Karin Tammaru
Maila Rästas
Meeli Sööt
Silvi Vrait
Silvia Laidla
Sirje Tennosaar
Eili Sild
Ester Pajusoo
Evi Rauer
Salme Poopuu
Salme Reek
Katariina Unt
Ülle Kaljuste
Harriet Toompere
Helene Vannari
Helle-Reet Helenurm
Helle Meri
Herta Elviste
Hilje Murel
Raine Loo
Lii Tedre
Liina Olmaru
Liina Tennosaar
Liisa Aibel
Mari Lill
Rita Raave
Rita Rätsepp
Piret Kalda
Piret Laurimaa
