Alma Kruger
Amy Irving
Andrea King
Ann Miller
Annette Bening
Annie Parisse
Ashley Clements
Audra McDonald
Irene Worth
C. Kelly Wright
Calista Flockhart
Carmen Mathews
Carrie Preston
Louise Beaudet
Louise Carver
Madeleine Potter
Maggie Gyllenhaal
Meryl Streep
Viola Davis
Jeanette Nolan
Jennifer Ehle
Judith-Marie Bergan
Julia Stiles
Nina Foch
Fanny Janauschek
Fay Davis
Mia Farrow
Elizabeth Reaser
Emma Sheridan Fry
Erica Tazel
Frances Conroy
Frances McDormand
Georgia Caine
Ginnifer Goodwin
Lauren Ambrose
Laurie Holden
LisaGay Hamilton
Lisa Pelikan
Lynn Collins
Maidie Norman
Marie Goodman Hunter
Michele Greene
Michelle Pfeiffer
Charlotte Cushman
Claire Danes
Danai Gurira
Deborah Gates
Diana Scarwid
Diane Venora
Estelle Parsons
Jessica Boone
Jessica Chastain
Jessica Lange
Kelie McIver
Kelly McGillis
M'el Dowd
Gretchen Corbett
Kate Mulgrew
Katharine Cornell
Katharine Hepburn
Katherine Tupper Marshall
Kathryn Grayson
Lily Rabe
Marcia Gay Harden
Margaret Webster
Tessa Thompson
Vera Farmiga
