Ada Svedin
Adele Spitzeder
Adelheid Seeck
Agnes Bernelle
Alexandra Neldel
Alice Dwyer
Alice Treff
Almila Bagriacik
Amira El Sayed
Anaid Iplicjian
Angela Brunner
Angelica Domröse
Anja Jaenicke
Anna Maria Mühe
Anna Müller-Lincke
Anna Thalbach
Anne Wiazemsky
Annekathrin Bürger
Anneke Kim Sarnau
Annemarie Hase
Annemarie Steinsieck
Annett Fleischer
Annett Renneberg
Antonie Jaeckel
Antonie Strassmann
Astrid Frank
Atossa Leoni
Franziska Troegner
Fritzi Haberlandt
Henny Porten
Henriette Richter-Röhl
Johanna Hofer
Johanna Schall
Lena Stolze
Leni Riefenstahl
Leyla Lydia Tuğutlu
Barbara Brecht-Schall
Barbara Frey
Barbara Schöne
Beate Finckh
Bella Dayne
Berta Drews
Bettina Moissi
Bina Rothschild
Blandine Ebinger
Brigitte Helm
Brigitte Horney
Brigitte Mira
Carmen-Maja Antoni
Loni Nest
Loo Hardy
Lotte Lorring
Lotte Neumann
Lotte Spira
Lotte Stein
Tamara Desni
Tanja Wenzel
Tatjana Blacher
Pola Kinski
Solvi Stubing
Sonja Gerhardt
Sophia Thomalla
Sophie Charlotte Ackermann
Sıla Şahin
Vicky Krieps
Zazie Beetz
Celia Lovsky
Dora Gerson
Dorothea Wieck
Dorrit Weixler
Inge Keller
Inge Landgut
Inge Meysel
Ingrid Lutz
Ingrid Pan
Ingrid Rentsch
Ingrid Steeger
Jella Haase
Jennifer Ulrich
Jenny Schily
Julia Biedermann
Julia Jentsch
Nico
Nicole Nagel
Nicolette Krebitz
Nikki van der Zyl
Nina Hoss
Ossi Oswalda
Rotraut Richter
Fee Malten
Gardy Granass
Käthe Haack
Maxi Biewer
Nastassja Kinski
Valeska Gert
Vanessa Krüger
Vanessa Petruo
CoCo Brown
Cordula Trantow
Corny Collins
Elena Kazan
Elga Brink
Elisabeth Trissenaar
Elke Sommer
Ellen Franz
Ellen Schwanneke
Elsa Galafrés
Else Lehmann
Else Reval
Emilia Schüle
Emily Atef
Emma Schweiger
Erika Dannhoff
Erika Helmke
Gerda Maria Terno
Gesine Cukrowski
Gina Alice Stiebitz
Giuliana Jakobeit
Ilse Fürstenberg
Ilse Pagé
Ilse Stanley
Ilse Trautschold
Jutta Freybe
Jutta Wachowiak
Karin Baal
Karin Boyd
Karin Hanczewski
Karin Ugowski
Lea Lander
Lisa Maria Potthoff
Lissy Arna
Luise Heyer
Luna Schweiger
Lya Lys
Maria Landrock
Maria Matray
Maria Riva
Maria Sebaldt
Marianne Simson
Marianne Stewart
Marie-Luise Schramm
Marina Orschel
Marion Brash
Marlene Dietrich
Marta Husemann
Melika Foroutan
Michèle Marian
Sexy Cora
Sybil Werden
Sylta Fee Wegmann
Charlotte Ander
Charlotte Thiele
Charlotte Wilhelmina Franziska Brandes
Christiane Lemm
Christiane Maybach
Christiane Paul
Christina Drechsler
Christina Plate
Cilly Feindt
Claire Rommer
Claudine Wilde
Dagmar Berghoff
Dagmar Manzel
Dagny Servaes
Désirée Nick
Edith Hancke
Edith Meinhard
Ery Bos
Eva Christian
Eva Ingeborg Scholz
Eva Probst
Eva Renzi
Eva Speyer
Evamaria Bath
Evelyn Holt
Evelyn Künneke
Evi Eva
Jasmin Gerat
Jing Xiang
Monika Lundi
Türkiz Talay
Cynthia McWilliams
Kaaren Verne
Laura Berlin
Laura Tonke
Lucie Mannheim
Manny Ziener
Martina Hill
Martina Mayne
Grete Mosheim
Grit Boettcher
Gritta Ley
Hanna Maron
Hanna Schwamborn
Hannelore Schroth
Hortense Raky
Jana Pallaske
Janette Rauch
Karola Ebeling
Karoline Herfurth
Katharina Thalbach
Katja Woywood
Liv Lisa Fries
Nadja Auermann
Natja Brunckhorst
Roma Bahn
Ruth Hellberg
Ruth Landshoff
Susanne Berckhemer
Ursula Deinert
Ursula Lingen
Ursula Werner
Uta Kargel
İdil Üner
Hedwig Pringsheim
Hedwig Wangel
Heike Faber
Helena Zengel
Helga Liné
Hella Tornegg
Hilde Maroff
Hilde Seipp
Hilde Sessak
Paula Kalenberg
Peri Baumeister
Lilli Palmer
Lilli Schweiger
Marga Legal
Margarete Genske
Margarete Schön
Margit Barnay
Margit Geissler
Margot Hielscher
Renate Holm
Renate Wilson
Nora Tschirner
Rhea Harder
Rosa Valetti
Rosel Zech
Sabine Peters
Sabine Thalbach
Trude Hesterberg
Ulrike Röseberg
Vera Tschechowa
Walfriede Schmitt
