Agda Helin
Anna-Lisa Baude
Anna Hofman-Uddgren
Anna Olin
Anna Q. Nilsson
Augusta Anderson
Augusta Lindberg
Frida Winnerstrand
Brita Appelgren
Carlotta Nillson
Mona Geijer-Falkner
Mona Mårtenson
Olga Andersson
Solveig Hedengran
Stina Berg
Thecla Åhlander
Tora Teje
Dora Söderberg
Inga Tidblad
Jenny Hasselquist
Jenny Tschernichin-Larsson
Julia Cæsar
Jullan Kindahl
Wanda Rothgardt
Concordia Selander
Elisabeth Frisk
Elsa Carlsson
Emma Meissner
Emmy Albiin
Gerda Lundequist
Karin Molander
Karin Swanström
Linnéa Hillberg
Sigrid Holmquist
Tollie Zellman
Dagmar Ebbesen
Dagny Lind
Ester Roeck-Hansen
Jessie Wessel
Mim Persson
Mimi Pollak
Greta Almroth
Greta Garbo
Gull Natorp
Katie Rolfsen
Ruth Weijden
Harriet Bosse
Helga Thomas
Hilda Borgström
Pauline Brunius
Lili Ziedner
Margit Manstad
Renée Björling
Vera Schmiterlöw
