Arunima Lamsal
Barsha Raut
Barsha Siwakoti
Bhuwan Chand
Bipana Thapa
Gauri Malla
Mahima Silwal
Suhana Thapa
Sujata Koirala
Sumi Khadka
Surakshya Panta
Menuka Pradhan
Rima Bishwokarma
Saranga Shrestha
Shweta Khadka
Neeta Dhungana
Nisha Adhikari
Reecha Sharma
Samragyee RL Shah
Deepika Prasain
Garima Panta
Gita Shahi
Mala Sinha
Malina Joshi
Melina Manandhar
Chhulthim Dolma Gurung
Jal Shah
Jharana Bajracharya
Jharana Thapa
Keki Adhikari
Manisha Koirala
Kavita Srinivasan
Namrata Shrestha
Swastima Khadka
Usha Rajak
Rekha Thapa
Priyanka Karki
Sanchita Luitel
Tripti Nadakar
Upasana Singh Thakuri
