Ada Fijał
Adrianna Biedrzyńska
Agata Buzek
Agata Kulesza
Agata Trzebuchowska
Agnieszka Grochowska
Aleksandra Gintrowska
Aleksandra Szwed
Alicja Bachleda-Curuś
Aneta Zając
Anna-Maria Sieklucka
Anna Kerth
Anna Przybylska
Barbara Jonak
Barbara Rogowska
Beata Poźniak
Beata Tyszkiewicz
Grażyna Szapołowska
Magdalena Boczarska
Magdalena Lamparska
Magdalena Mielcarz
Magdalena Walach
Magdalena Zawadzka
Mirosława Krajewska
Teresa Lipowska
Dominika Chorosińska
Julia Kijowska
Nina Andrycz
Gabriela Kownacka
Kinga Preis
Krystyna Janda
Małgorzata Braunek
Małgorzata Zajączkowska
Natasza Urbańska
Wiesława Mazurkiewicz
Elżbieta Kępińska
Erika Kaar
Ilona Ostrowska
Maja Komorowska
Maja Ostaszewska
Maria Garbowska-Kierczyńska
Maria Niklińska
Marta Żmuda Trzebiatowska
Zofia Wichłacz
Zuzanna Szadkowski
Claudia Ciesla
Dagmara Domińczyk
Ewa Błaszczyk
Ewa Dałkowska
Ewa Wiśniewska
Ewa Ziętek
Ewelina Lukaszewska
Jadwiga Barańska
Jadwiga Jankowska-Cieślak
Joanna Bartel
Joanna Jarmołowicz
Joanna Kulig
Joanna Pacuła
Joanna Żółkowska
Kazimiera Utrata
Halina Kwiatkowska
Karolina Adamczyk
Karolina Gruszka
Karolina Wydra
Katarzyna Bujakiewicz
Katarzyna Cichopek
Katarzyna Dąbrowska
Roma Gąsiorowska
Suzanna von Nathusius
Izabella Miko
Izabella Scorupco
Patrycja Soliman
Patrycja Volny
Renata Drössler
Sandra Drzymalska
Weronika Rosati
