Alma Zack
Anat Atzmon
Anat Waxman
Asi Levi
Ayelet Zurer
Riff Cohen
Nitza Saul
Rozina Cambos
Gal Gadot
Galia Yishai
Keren Mor
Levana Finkelstein
Michaela Bercu
Stav Strashko
Chelli Goldenberg
Dalia Friedland
Dar Zuzovsky
Debbi Besserglick
Moran Rosenblatt
Rachel Attas
Tzipi Shavit
Sendi Bar
Sivan Shavit
Hana Laszlo
Hanna Rieber
Hanny Nahmias
Orli Shoshan
Orna Banai
Yael Bar Zohar
Yael Tal
Romi Aboulafia
