Ita Rina
Berta Bojetu
Branka Veselinović
Oja Kodar
Olga Spiridonović
Olivera Katarina
Olivera Marković
Ines Fančović
Milena Zupančič
Nela Eržišnik
Mia Oremović
Ena Begović
Majda Grbac
Majda Potokar
Zlata Petković
Duša Počkaj
Mira Stupica
Katarina Josipi
Ljiljana Krstić
Ljubica Otašević
Ljubinka Bobić
