Adelyn Bushnell
Alice Knowland
Althea Currier
Amy Roeder
Anna Belknap
Barbara Bel Geddes
Caitlin FitzGerald
Sarah Paulson
Dora Wiley
Jeff Donnell
Samantha Smith
Maxine Elliott
Gertrude Elliott
Gladys George
Linda Lavin
Stephanie Niznik
Esther Ralston
JoAnn Willette
Rachel Nichols
Laura Bonarrigo
Katie Aselton
Kay Aldridge
Heather Hemmens
Reta Shaw
Robyn Hurder
