Agata Gotova
Aino Talvi
Aleksandra Khokhlova
Aliya Teregulova
Alla Pugacheva
Angelica Agurbash
Angelina Vovk
Ausma Kantāne-Ziedone
Irina Sanpiter
Barbara Aleksi-Meskhishvili
Laine Mesikäpp
Muza Krepkogorskaya
Tamara Syomina
Tatiana Okunevskaya
Tatyana Protsenko
Tatyana Sudets
Olga Chekhova
Olga Gulazyan
Olga Gzovskaya
Olga Knipper
Olga Ostroumova
Polina Kutepova
Rina Zelyonaya
Sona Mustafayeva
Sophie Sooäär
Zarosh Hamzayeva
Dodo Chichinadze
Ines Aru
Nina Alisova
Nina Arkhipova
Nina Ruslanova
Nina Shatskaya
Roza Rymbayeva
Natalya Gvozdikova
Natalya Sedykh
Natalya Vetlitskaya
Valentina Titova
Valeriya Zaklunna
Varduhi Varderesyan
Elena Yakovleva
Emma Treyvas
Lyudmila Khityaeva
Lyudmila Senchina
Lyudmila Vlasova
Maila Rästas
Maria Zakharevich
Marina Dyuzheva
Medea Japaridze
Yelizaveta Sadovskaya
Yevgeniya Khanayeva
Darya Moroz
Ekaterina Savinova
Firangiz Sharifova
Javahir Isgandarova
Salme Reek
Larisa Dolina
Larisa Guzeyeva
Larisa Shepitko
Hamida Omarova
Munavvar Kalantarli
Nana Mchedlidze
Roksana Babajan
Sofia Rotaru
Svetlana Orlova
Svetlana Rozhkova
Lillian Malkina
Margarita Nazarova
Nonna Mordyukova
Tursunkhon Solieva
Vera Kuzmina
Verjaluys Mirijanyan
