Adeyto
Marie Guillard
Marie Mouté
Marie Rivière
Marie Trintignant
Marie Versini
Marie de Villepin
Marilou Berry
Marilyn Lima
Marina Foïs
Marina Hands
Marine Delterme
Marine Renoir
Marine Vacth
Marion Cotillard
Marion Game
Marion Laine
Marion Vernoux
Marthe Mercadier
Marthe Villalonga
Melania Dalla Costa
Micheline Presle
Michelle Marquais
Michèle Bernier
Michèle Laroque
Michèle Mercier
Michèle Moretti
Sylvie Joly
Sylvie Testud
Sylvie Vartan
Zita Hanrot
Zoé Félix
Àstrid Bergès-Frisbey
Charlotte Gainsbourg
Charlotte Valandrey
Charlotte de Turckheim
Chloé Coulloud
Chloé Dumas
Chloé Hollings
Chloé Jouannet
Chloé Mons
Christa Théret
Christine Boisson
Christine Citti
Claire Deluca
Claire Keim
Claire Nadeau
Claire Nebout
Clara Bellar
Clara Ponsot
Claude Gensac
Claude Jade
Claude Perron
Claudia Tagbo
Clotilde Courau
Clotilde Hesme
Clotilde Mollet
Clémence Lassalas
Clémence Poésy
Clémence Saint-Preux
Clémentine Célarié
Clémentine Poidatz
Cyrielle Clair
Cécile Cassel
Cécile Le Bailly
Cécile Vassort
Cécilia Cara
Céline Sallette
Danielle Arbid
Danielle Darrieux
Danièle Delorme
Danièle Lebrun
Diane Rouxel
Déborah Lukumuena
Estelle Lefébure
Estelle Skornik
Esther Garrel
Eva Green
Eva Ionesco
Eye Haïdara
Fabienne Carat
Fabienne Chaudat
Firmine Richard
Florence Darel
Florence Giorgetti
Florence Guérin
Florence Jaugey
Florence Pernel
Florence Thomassin
Jessi M'Bengue
Joana Preiss
Mimie Mathy
Miou-Miou
Morgane Polanski
Rachida Brakni
Salomé Stévenin
Cristiana Reali
Kalki Koechlin
Laura Smet
Laura Weissbecker
Laure Calamy
Laure Duthilleul
Laure Killing
Laure de Clermont-Tonnerre
Luce
Lucie Boujenah
Lucie Lucas
Lucienne Moreau
Ludivine Sagnier
Ludmila Mikaël
Macha Méril
Martine Brochard
Martine Pascal
Guilaine Londez
Hafsia Herzi
Hande Kodja
Hanna Schygulla
Karole Rocher
Katia Tchenko
Liza Manili
Lizzie Brocheré
Nadia Barentin
Nadia Tereszkiewicz
Nadège Beausson-Diagne
Romane Bohringer
Sofia Boutella
Sofia Essaïdi
Soko
Vahina Giocante
Édith Scob
Élisa Servier
Élizabeth Bourgine
Élodie Bouchez
Élodie Fontan
Élodie Frenck
Élodie Frégé
Élodie Yung
Émilie Caen
Émilie Gavois-Kahn
Éva Darlan
Évelyne Buyle
Évelyne Didi
Évelyne Grandjean
Izïa
Pauline Chalamet
Perrette Pradier
Philippine Leroy-Beaulieu
Liliane Montevecchi
Liliane Rovère
Lily-Rose Depp
Noée Abita
Noémie Lenoir
Noémie Lvovsky
Noémie Merlant
Noémie Saglio
Ophélia Kolb
Ophélie Winter
Paola Locatelli
Yael Grobglas
Nora Arnezeder
Odile Schmitt
Rosette
Sabine Azéma
Sabine Crossen
Sabine Pakora
Sabrina Ouazani
Sandrine Bonnaire
Sandrine Kiberlain
Sanâa Alaoui
Sara Downing
Sara Forestier
Sara Giraudeau
Sara Martins
Sarah Adler
Sarah Biasini
Sarah Grappin
Tsilla Chelton
Véronique Augereau
Véronique Barrault
