Abbey Lee
Alana Lowes
Alethea McGrath
Alexandra Schepisi
Ali McGregor
Alison Bell
Alison Whyte
Amanda Douge
Andrea McEwan
Angourie Rice
Anna Torv
Anne Charleston
Anne Phelan
Asher Keddie
Irene Chen
Isabel Lucas
Isabella Giovinazzo
Barbara Angell
Bella Heathcote
Beverley Dunn
Bianca Chiminello
Bonnie Anderson
Bonnie Piesse
Bridie Carter
Caitlin Stasey
Carla Bonner
Caroline Craig
Cassandra Magrath
Cate Blanchett
Louise Siversen
Maddison Brown
Madeleine Orr
Madeleine West
Madge Titheradge
Mae Busch
Mae Dahlberg
Maggie Fitzgibbon
Mirrah Foulkes
Pat McDonald
Tamasin Ramsay
Neva Carr Glyn
Olivia DeJonge
Olivia Deeble
Olivia Newton-John
Olympia Valance
Penelope Mitchell
Sarah Roberts
Sophie Heathcote
Thelma Scott
Yvonne Banvard
Chandrika Ravi
Gwen Gaze
Jean Kittson
Joy Dunstan
Julie Nihill
June Newton
Nikki Coghill
Rebecca Jackson Mendoza
Ruby Rose
Sheila Florance
Denise Drysdale
Kerry Armstrong
Kimberley Chen
Kylie Minogue
Lesley Baker
May Robson
Myra Kemble
Natalie Mendoza
Catherine Mack-Hancock
Catherine McClements
Colette Mann
Coral Browne
Eliza Taylor
Elizabeth Debicki
Eloise Mignon
Elsa Chauvel
Emily Browning
Emma-Louise Wilson
Emma Hamilton
Georgina Haig
Georgina Naidu
Gina Riley
Lindy Davies
Lyndel Rowe
Mairead Curran
Marina Prior
Marny Kennedy
Michelle Vergara Moore
Sianoa Smit-McPhee
Simone Robertson
Stephanie McIntosh
Stephany Avila
Zoe Caldwell
Cherie Ditcham
Chloe Dallimore
Christine Stephen-Daly
Clare Bowditch
Dannii Minogue
Daphne Pollard
Debra Lawrance
Eva Lazzaro
Eve Morey
Eve von Bibra
Evie Hayes
Fiona Choi
Florence Maude Young
Jacinta Stapleton
Jackie Woodburne
Jacqui Gordon
Jasmine Curtis-Smith
Jessica Gower
Jessica Jacobs
Jill Perryman
Jiordan Tolli
Jo Kennedy
Joan Winfield
Monica Maughan
Rachel Griffiths
Radha Mitchell
Sally Boyden
Sally Patience
Kaiya Jones
Laura Brent
Lucille Lisle
Mary-Anne Fahey
Mary Coustas
Mary Maguire
Tina Arena
Hanna Griffiths
Hannah Greenwood
Holly Valance
Jane Allsop
Jane Hall
Jane Kennedy
Janet Ramsay Johnson
Kate Keltie
Kate Lister
Liz Harris
Moya O'Sullivan
Nadine Garner
Roma Egan
Susannah Fowle
Helen Dallimore
Helen Reddy
Patsy King
Pepita Emmerichs
Peta Brady
Petra Yared
Pia Miranda
Libbi Gorr
Libby Tanner
Marcella Russo
Margot Rhys
Robyn Nevin
Xonia
Noni Hazlehurst
Pippa Black
Saharet
Tessa James
Vera White
Wendy Hughes
