Ann Knox
Anne Dorval
Arsinée Khanjian
Brie Larson
Carrie-Anne Moss
Geneviève Bujold
Louise Marleau
Pascale Bussières
Pascale Montpetit
Tatiana Maslany
Molly Parker
Sarah Polley
Julie Christie
Julie Le Breton
Rebecca Jenkins
Seema Biswas
Sheila McCarthy
Gabrielle Marion-Rivard
Vanessa Paradis
Elle-Máijá Tailfeathers
Ellen Burstyn
Karine Vanasse
Marie-Josée Croze
Marie Tifo
Marilyn Lightstone
Martha Henry
Micheline Lanctôt
Michelle Pfeiffer
Sylvie Moreau
Jackie Burroughs
Monique Mercure
Rachel Mwanza
Rae Dawn Chong
Sally Hawkins
Lubna Azabal
Janet Wright
Kate Lynch
Nahéma Ricci
Élise Guilbault
Émilie Bierre
Helen Shaver
Helena Bonham Carter
Margaret Langrick
Margot Kidder
Sandra Oh
