Agnes-Nicole Winter
Agneta Ekmanner
Alba August
Alexandra Dahlström
Alicia Vikander
Aliette Opheim
Amy Gumenick
Angela Kovács
Anita Ekberg
Anita Ekström
Anki Lidén
Ann-Sofie Kylin
Ann Petrén
Anna-Lena Bergelin
Anna Godenius
Anne-Li Norberg
Frida Gustavsson
Johanna Sällström
Lena Endre
Lena Olin
Lia Boysen
Bahar Pars
Barbro Kollberg
Basia Frydman
Bibi Andersson
Bojan Westin
Britt Ekland
Britta Hasso
Camilla Lundén
Lo Kauppi
Lotta Tejle
Louise Peterhoff
Madeleine Martin
Mirja Turestedt
Moa Gammel
MyAnna Buring
Tanja Lorentzon
Meral Tasbas
Mona Seilitz
Cecilia von der Esch
Ingrid García-Jonsson
Josephine Alhanko
Josephine Bornebusch
Julia Dufvenius
Julia Ragnarsson
Maud Adams
Nermina Lukac
Nina Gunke
Rebecca Ferguson
Rebecca Scheja
Rozita Auer
Sharon Dyall
Kerstin Granlund
Kristina Wayborn
Kudzai Chimbaira
Mi Ridell
Ellen Mattsson
Emily Baldoni
Emy Storm
Erika Linder
Gerd Hagman
Gloria Tapia
Ika Nord
Karin Bertling
Lina Leandersson
Lina Perned
Linda Ulvaeus
Lis Nilheim
Lisette Pagler
Maja Söderström
Malin Akerman
Malin Berghagen
Malin Crépin
Malin Levanon
Marie Robertson
Med Reventberg
Melinda Kinnaman
Sissela Benn
Claudia Galli
Dilan Gwyn
Eva Röse
Evelyn Mok
Evin Ahmad
Jessica Zandén
Monica Nielsen
Rachel Mohlin
Gun Jönsson
Gunilla Olsson
Gunnel Fred
Gunnel Lindblom
Hanna Alström
Hanna Dorsin
Hanna Schmitz
Janni Olsson
Katarina Cohen
Nanna Blondell
Ruth Vega Fernandez
Sofia Helin
Sofia Karemyr
Harriet Andersson
Helena Brodin
Helena Mattsson
Helena af Sandeberg
Izabella Scorupco
Paulina Porizkova
Pernilla August
Pernilla Wahlgren
Lil Terselius
Margareta Hallin
Margreth Weivers
Noomi Rapace
Pragya Yadav
Tuva Novotny
Vera Vitali
