Ada Lundver
Adeele Sepp
Aino Seep
Aino Talvi
Aire Koop
Aksella Luts
Alisa Jakobi
Amalie Konsa
Anne Margiste
Anne Reemann
Anu Lamp
Asta Vihandi
Astrid Lepa
Ita Ever
Leida Rammo
Leila Säälik
Lenna Kuurmaa
Lia Laats
Betty Kuuskemaa
Britta Soll
Carmen Kass
Laine Mesikäpp
Laine Mägi
Mirtel Pohla
Terje Pennie
Merle Jääger
Merle Palmiste
Merle Talvik
Meta Luts
Olli Ungvere
Riina Hein
Sophie Sooäär
Viire Valdma
Viiu Härm
Ines Aru
Inga Salurand
Ingrid Isotamm
Kersti Heinloo
Kersti Kreismann
Kiiri Tamm
Kärt Tomingas
Külli Palmsaar
Külli Teetamm
Külliki Saldre
Elina Purde
Elisabet Reinsalu
Ellen Alaküla
Ellen Kaarma
Ellen Liiger
Elsa Ratassepp
Ene Järvis
Erika Kaljusaar
Getter Jaani
Karin Rask
Karin Tammaru
Maila Rästas
Maria Annus
Marta Laan
Meeli Sööt
Silvia Laidla
Sirje Tennosaar
Eili Sild
Ester Pajusoo
Eva Püssa
Evelin Võigemast
Evi Rauer
Ragne Veensalu
Rea Lest-Liik
Salme Poopuu
Salme Reek
Kadri Rämmeld
Kaie Mihkelson
Kaili Närep
Maarja Jakobson
Katariina Ratasepp
Katariina Unt
Katrin Pärn
Klaudia Tiitsmaa
Ursula Ratasepp
Ülle Kaljuste
Harriet Toompere
Hele Kõrve
Helene Vannari
Helle-Reet Helenurm
Helle Meri
Herta Elviste
Hilje Murel
Raine Loo
Lii Tedre
Liina Olmaru
Liina Tennosaar
Liis Lass
Liis Lindmaa
Liisa Aibel
Liisa Pulk
Mari Lill
Rita Raave
Rita Rätsepp
Piret Kalda
Piret Krumm
Piret Laurimaa
Saara Pius
