Adrianna Biedrzyńska
Agata Buzek
Agata Kulesza
Aleksandra Szwed
Aleksandra Śląska
Alma Kar
Anna Dymna
Anna Ilczuk
Anna Przybylska
Anna Seniuk
Ina Benita
Irena Anders
Irena Eichlerówna
Irena Górska-Damięcka
Irena Kwiatkowska
Irena Skwierczyńska
Jolanta Lothe
Lena Żelichowska
Barbara Brylska
Barbara Gilewska
Barbara Grabowska
Barbara Horawianka
Barbara Jonak
Barbara Krafftówna
Barbara Kwiatkowska-Lass
Beata Poźniak
Beata Tyszkiewicz
Bella Darvi
Bożena Dykiel
Grażyna Brodzińska
Grażyna Błęcka-Kolska
Grażyna Długołęcka
Grażyna Szapołowska
Loda Halama
Loda Niemirzanka
Magda Konopka
Magdalena Mielcarz
Magdalena Zawadzka
Miriam Orleska
Mirosława Krajewska
Stanisława Angel-Engelówna
Stanisława Celińska
Stanisława Umińska
Stanisława Wysocka
Teresa Lipowska
Ola Obarska
Pola Negri
Violetta Villas
Dominika Chorosińska
Nina Andrycz
Shazza
Gabriela Kownacka
Kinga Preis
Krystyna Ankwicz
Krystyna Feldman
Krystyna Janda
Małgorzata Braunek
Małgorzata Zajączkowska
Wanda Jarszewska
Wiesława Mazurkiewicz
Elżbieta Barszczewska
Elżbieta Kępińska
Elżbieta Romanowska
Ilona Ostrowska
Lya Mara
Maja Komorowska
Maja Ostaszewska
Maria Balcerkiewiczówna
Maria Bogda
Maria Chmurkowska
Maria Dulęba
Maria Garbowska-Kierczyńska
Maria Gorczyńska
Maria Kaniewska
Maria Koterbska
Maria Malanowicz-Niedzielska
Maria Malicka
Marta Żmuda Trzebiatowska
Mieczysława Ćwiklińska
Stefania Grodzieńska
Stefania Górska
Tola Mankiewiczówna
Zofia Batycka
Zofia Jaroszewska
Zofia Mrozowska
Zula Pogorzelska
Dagmara Domińczyk
Danuta Szaflarska
Diana Blumenfeld
Diana Karenne
Edyta Jungowska
Ewa Błaszczyk
Ewa Dałkowska
Ewa Wiśniewska
Ewa Ziętek
Jadwiga Andrzejewska
Jadwiga Barańska
Jadwiga Chojnacka
Jadwiga Jankowska-Cieślak
Jadwiga Kuryluk
Jadwiga Smosarska
Jaga Juno
Joanna Bartel
Joanna Koroniewska
Joanna Pacuła
Joanna Trzepiecińska
Joanna Żółkowska
Kazimiera Utrata
Mira Zimińska
Kalina Jędrusik
Lucyna Winnicka
Halina Kwiatkowska
Hanka Bielicka
Hanka Ordonówna
Hanna Śleszyńska
Janina Janecka
Karolina Gruszka
Katarzyna Cichopek
Klara Segałowicz
Ruza Wenclawska
Soava Gallone
Tekla Trapszo
Urszula Modrzyńska
Helena Grossówna
Helena Kaut-Howson
Helena Makowska
Helena Zarembina
Izabela Trojanowska
Izabella Scorupco
Lidia Wysocka
Rena Rolska
Renata Drössler
Nora Ney
