Anne Bancroft
Anouk Aimée
Irène Jacob
Isa Miranda
Isabelle Adjani
Isabelle Huppert
Lee Grant
Barbara Barrie
Barbara Hershey
Barbara Sukowa
Barbro Hiort af Ornäs
Bette Davis
Bibi Andersson
Björk
Blanca Portillo
Brenda Blethyn
Bérénice Bejo
Carla Gravina
Carmen Maura
Lola Dueñas
Maggie Cheung
Meryl Streep
Sophia Loren
Séverine Caneele
Virna Lisi
Zar Amir Ebrahimi
Dominique Sanda
Ingrid Thulin
Jeanne Moreau
Jeon Do-yeon
Julianne Moore
Juliette Binoche
Milena Dravić
Ottavia Piccolo
Samal Yeslyamova
Samantha Eggar
Shelley Duvall
Fernanda Torres
Krystyna Janda
Natacha Régnier
Valerie Perrine
Vanessa Redgrave
Cosmina Stratan
Elena Dobronravova
Elena Solovey
Emily Beecham
Emmanuelle Bercot
Giulietta Masina
Linda Mvusi
Marie-José Nat
Marie-Josée Croze
Marina Vlady
Melina Mercouri
Michèle Morgan
Simone Signoret
Yohana Cobo
Charlotte Gainsbourg
Cher
Chus Lampreave
Diane Kruger
Ekaterina Savinova
Eva Dahlbeck
Eva Mattes
Jaclyn Jose
Jadwiga Jankowska-Cieślak
Jill Clayburgh
Joanne Woodward
Jodhi May
Monique Mercure
Sally Field
Cristina Flutur
Larisa Kronberg
Hana Laszlo
Hanna Schygulla
Holly Hunter
Katharine Hepburn
Kathy Burke
Kati Outinen
Kirsten Dunst
Kitty Winn
Klara Luchko
Susan Hayward
Susannah York
Élodie Bouchez
Émilie Dequenne
Helen Mirren
Iya Arepina
Penélope Cruz
Pernilla August
Pia Degermark
Mari Törőcsik
Renate Reinsve
Rita Tushingham
Norma Aleandro
Rooney Mara
Sandra Corveloni
Vera Kuznetsova
