Alexandra Borbély
Anikó Für
Anna Báró
Anna Tőkés
Lenke Lorán
Hédi Temessy
Hédi Váradi
Magda Kun
Teri Náray
Róza Laborfalvi
Violetta Ferrari
Judit Hernádi
Mária Sulyok
Emília Márkus
Franciska Gaal
Gizi Bajor
Ilona Béres
Ilona Dajbukát
Ilus Vay
Lya De Putti
Maria von Tasnady
Marianne Krencsey
Silvia Vargová
Zita Perczel
Zita Szeleczky
Ágnes Csomor
Ágnes Simor
Déryné Róza Széppataki
Erzsébet Kútvölgyi
Flóra Kádár
Hanna Hertelendy
Katalin Ladik
Klári Tolnay
Éva Ruttkai
Éva Szörényi
Éva Örkényi
Hilda Gobbi
Lili Gesler
Manyi Kiss
Marcsa Simon
Mari Jászai
Nusi Somogyi
Rosy Barsony
Teréz Csillag
Vera Szemere
