Andrea Leeds
Audree Norton
Autumn Hurlbert
Barbara Luddy
Betty Ann Carr
Carol Thurston
Missy Gold
Misty Upham
Patricia Belcher
Dorothy Coburn
Jean Parker
Rebecca Ferratti
Myrna Loy
Stacy Edwards
Constance Towers
Maris Wrixon
Michelle Beck
Michelle Williams
Esther Howard
Reagan Wilson
Jane Lawrence
Kathlyn Williams
Kathryn Card
Suzanna Son
Helen Lynch
Pert Kelton
Margaret Qualley
Margot Kidder
Rosemarie Bowe
