Abbie Cornish
Abigail
Ada Nicodemou
Aileen Britton
Ailsa Piper
Alethea McGrath
Alexandra Schepisi
Alicia Banit
Alicia Gardiner
Alison Whyte
Ally Fowler
Alma Rock Phillips
Amanda Muggleton
Anna Hruby
Anne-Louise Lambert
Anne Charleston
Anne Haddy
Anne Looby
Anne Lucas
Anne Phelan
Annette Kellerman
Annie Byron
Annie Jones
Arkie Whiteley
Asher Keddie
Isla Fisher
Leeanna Walsman
Babette Stephens
Babs McMillan
Barbara Angell
Beatrice Denver Holloway
Belinda Bauer
Belinda McClory
Bethany Lee
Bettina Welch
Betty Bobbitt
Betty Bryant
Betty McDowall
Betty Stockfeld
Beverley Dunn
Bianca Chiminello
Bojana Novakovic
Brenna Harding
Briony Behets
Brittany Byrnes
Brooke Harman
Brooke Satchwell
Bunney Brooke
Carla Bonner
Carmen Duncan
Carol Burns
Carol Raye
Caroline Gillmer
Caroline O'Connor
Carrie Moore
Cassandra Harris
Cassandra Magrath
Cate Blanchett
Genevieve Lemon
Lois Ramsey
Lorna Bingham
Lorna Lesley
Lorna Westbrook
Lorrae Desmond
Lottie Lyell
Lotus Thompson
Louise Le Nay
Louise Lovely
Louise Pajo
Louise Siversen
Madeleine Orr
Madge Titheradge
Madi Hedd
Mae Busch
Mae Dahlberg
Magda Szubanski
Maggie Kirkpatrick
Maggie Millar
Miranda Otto
Muriel Matters
Muriel Steinbeck
Pat Bishop
Pat Evison
Pat McDonald
Pat Thomson
Tamasin Ramsay
Tammin Sursok
Tammy MacIntosh
Tasma Walton
Taya Straton
Terrie Waddell
Molly Raynor
Neva Carr Glyn
Olive Wilton
Olivia Hamnett
Olivia Newton-John
Peggy Pryde
Penny Cook
Penny Downie
Penny Ramsey
Queenie Ashton
Saskia Post
Saturday Rosenberg
Sonja Tallis
Thelma Afford
Thelma Grigg
Tory Mussett
Victoria Nicolls
Victoria Rowland
Victoria Shaw
Violet Hopson
Virginia Hey
Celia Ireland
Chantal Contouri
Donna Burke
Doreen Warburton
Doris Goddard
Dorothy Alison
Dorothy Cumming
Dorothy Dunckley
Dorothy Hawtree
Dulcie Cooper
Gwen Gaze
Gwen Munro
Gwen Richardson
Inez Bensusan
Jean Robertson
Jeanie Drynan
Jenni Baird
Jennifer Hagan
Jennifer Kent
Jenny Lovell
Jentah Sobott
Josephine Byrnes
Josephine Knur
Josephine Mitchell
Joy Hruby
Joy Nichols
Joy Westmore
Joyce Jacobs
Jude Kuring
Judith McGrath
Judy Davis
Judy McBurney
Judy Nunn
Julia Blake
Julie Dawson
Julieanne Newbould
June Salter
Matilda Brown
Maureen Edwards
Maureen Murphy
Nellie Bramley
Nicki Paull
Nicole Kidman
Nicolle Dickson
Nina Young
Ningali Lawford
Nita Pannell
Rebecca Dines
Rebecca Rigg
Rebekah Robertson
Ruby Litchfield
Shannon Kenny
Sharyn Hodgson
Sheila Florance
Sheila Kennelly
Sheryl Munks
Tien Hogue
Deidre Rubenstein
Delta Goodrem
Fearless Nadia
Gabby Millgate
Kerry Armstrong
Kim Trengove
Kris McQuade
Kylie Belling
Kylie Minogue
Lesley Baker
Maxine Klibingaitis
May Robson
Myra De Groot
Val Lehman
Catherine Duncan
Catherine McClements
Catherine Sutherland
Cathy Godbold
Colette Mann
Colleen Anne Fitzpatrick
Connie Martyn
Constance Worth
Elizabeth Alexander
Elle Macpherson
Elsie Jane Wilson
Elsie Mackay
Elspeth Ballantyne
Emilie de Ravin
Emily Browning
Ena Gregory
Enid Bennett
Enid Lorimer
Frances Hargreaves
Frances O'Connor
Georgina Naidu
Gerda Nicolson
Gia Carides
Gillian Alexy
Gina Riley
Glenda Linscott
Justine Saunders
Leah Purcell
Leah Vandenberg
Leal Douglas
Linda Cropper
Linda Hartley-Clark
Linda Kerridge
Lisa Aldenhoven
Lisa Crittenden
Lisa McCune
Lulu Pinkus
Lydia Yeamans Titus
Lynda Keane
Lynda Stoner
Lyndall Barbour
Lynette Curran
