Ada Dyas
Adelaide Calvert
Adelaide Neilson
Adrienne Corri
Agnes Lauchlan
Aileen Marson
Aimée Delamain
Alison Glennie
Alma Stanley
Amanda Hale
Amanda Redington
Amy Pemberton
Amy Sedgwick
Angela Browne
Anita Graham
Anjali Jay
Ann Brunton Merry
Ann Elliot
Ann Firbank
Ann Trevor
Anna Carteret
Anna Konstam
Anna Marcella Giffard
Anna Maria Seymour
Annabel Arden
Annabel Maule
Annie Yeamans
Audrey Hepburn
Audrey Russell
Henrietta Morgan
Imogen Bain
Imogen Toner
Indra Ové
Iris Ashley
Iris Vandeleur
Isa Bowman
Isabella Mattocks
Ishia Bennison
Isla Blair
Isobel Scaife
Leesa Gazi
Lena Ashwell
Lena Halliday
Barbara Hoffe
Barbara Murray
Barbara Rosenblat
Barbara White
Beatrice Lillie
Beatrix Thomson
Betty Paul
Betty Warren
Brenda Forbes
Carole Ann Ford
Carole Mowlam
Carole Ruggier
Grayce Hampton
Louie Ramsay
Louisa Bassano
Louisa Fontenelle
Lourdes Faberes
Madame Sala
Maggie Stables
Patricia Collins
Patricia Gibson-Howell
Patricia Hilliard
Patricia Medina
Tanya Moodie
Teresa Gallagher
Merle Tottenham
Molly Hamley-Clifford
Pearl Mackie
Penny Downie
Penny Layden
Sarah Mortimer
Sarah Payne
Sarah Siddons
Sarah Thurmond
Sarah West
Sarah Wewitzer
Shirley Cain
Sonia Dresdel
Sophia Brown
Sophie Stewart
Souad Faress
Storme Toolis
Vicki Woolf
Victoria Gould
Vida Hope
Viola Keats
Viva Birkett
Viva Tattersall
Vivien Leigh
Vivienne Chatterton
Zainab Jah
Cecilia Noble
Charlie Brooks
Doran Godwin
Dorothy Fane
Dorothy Massingham
Dulcie Gray
Gwen Ffrangcon-Davies
Gwendoline Christie
Jean Aubrey
Jeanne de Casalis
Jeannette Charles
Jennie McNulty
Jennie Stoller
Jenny Galloway
Josephine Wilson
Josette Simon
Joyce Grant
Joyce Heron
Joyce Kennedy
Judith Anderson
Judith Scott
Julie Atherton
June Jago
Matilda Hays
Mignon O'Doherty
Nell Ballantyne
Nelly Moore
Nicola Alexis
Nicole Barber-Lane
Nikki Amuka-Bird
Rowena King
Rowshanara Moni
Ruby Miller
Ruby Turner
Samantha Barks
Shannon Tarbet
Sheelagh Flanagan
Sheila Keith
Sheila Raynor
Sheila Sim
Sheila Steafel
Denyse Alexander
