Victoria Tennant
Victoria Wicks
Victoria Wood
Vida Hope
Vinette Robinson
Viola Compton
Viola Lyel
Viola Tree
Violet Carson
Violet Farebrother
Violet Graham
Violet Heming
Violet Kemble-Cooper
Violet Lloyd
Violet Vanbrugh
Virginia Field
Virginia Maskell
Virginia McKenna
Virginia Wetherell
Viva Birkett
Vivian Gibson
Vivian Pickles
Vivien Merchant
Vivienne Johnson
Yootha Joyce
Yoshino Kimura
Yvonne Buckingham
Yvonne Mitchell
Zeffie Tilbury
Zena Dare
Celia Imrie
Celia Johnson
Cerrie Burnell
Dolly Martin
Dolly Wells
Dolores Mantez
Dominique Moore
Donna Air
Doon Mackichan
Dora Barton
Dora Bryan
Dora De Winton
Dora Tulloch
Doreen Sloane
Dorinea Shirley
Doris Lloyd
Dorothy Atkinson
Dorothy Bartlam
Dorothy Bellew
Dorothy Boyd
Dorothy Hammond
Dorothy Mackaill
Dorothy Minto
Dorothy Tenham
Dorothy Ward
Drusilla Wills
Gwen Nelson
Gwen Taylor
Gwen Watford
Gwendolyn Watts
Gwynne Herbert
Ingrid Hafner
Jean Alexander
Jean Anderson
Jean Colin
Jean Fergusson
Jean Gillie
Jean Heywood
Jean Kent
Jean Lodge
Jean Marsh
Jean Simmons
Jemima Rooper
Jemma Redgrave
Jemma Walker
Jennie Linden
Jennifer Hilary
Jennifer Kendal
Jennifer Paterson
Jennifer Saunders
Jenny Agutter
Jenny Eclair
Jenny Funnell
Josephine Douglas
Josephine Tewson
Josie Lawrence
Joy Brook
Joy Shelton
Joyce Barbour
Joyce Carey
Joyce Grenfell
Joyce Windsor
Judi Dench
Judi Shekoni
Judith Barker
Judith Furse
Judy Bennett
Judy Carne
Judy Geeson
Judy Gunn
Judy Parfitt
Julia Blake
Julia Deakin
Julia Foster
Julia McKenzie
Julia Neilson
Julia Ormond
Julia Sawalha
Julia Stewart
Julia Tobin
Julian Orde
Julie Andrews
Julie Christie
Julie Covington
Julie Cox
Julie Dawn Cole
Julie Driscoll
Julie Fernandez
Julie Hesmondhalgh
Julie Suedo
Julie T. Wallace
Julie Walters
Juliet Aubrey
Juliet Cowan
Juliet Harmer
Juliet Mills
Juliet Stevenson
Juliette Kaplan
June Brown
June Duprez
June Flewett
June Tripp
June Whitfield
Juno Temple
Matilda Sturridge
Matilda Ziegler
Maud Cressall
Maud Hobson
Maura McGiveney
Maureen O'Brien
Maureen Pryor
Miki Hood
Nell Hudson
Nell de Silva
Nicola Bryant
Nicola Duffett
Nicola Pagett
Nicola Walker
Nicollette Sheridan
Nikki Patel
Nina Boucicault
Nina Sosanya
Rebecca Callard
Rebecca Front
Rebecca Hall
Rebecca Sarker
Rebekah Gibbs
Samantha Beckinsale
Samantha Bond
Samantha Eggar
Samantha Giles
Samantha Morton
Samantha Newark
Samantha Robson
Samantha Spiro
Samantha Womack
Samia Longchambon
Scarlett Strallen
Seeta Indrani
Sharon D. Clarke
Sharon Duncan-Brewster
Sheila Gish
Sheila Hancock
Sheila Kelley
Sheila Mercier
Sheila White
Shelagh Fraser
Shelagh Stephenson
Shelley Blond
Shelley Longworth
Sheree Winton
Sheridan Smith
Thérèse McMurray
Tilda Swinton
Tracey Childs
Tracey Ullman
Tracy-Ann Oberman
Tracy Brabin
Denise Bryer
Denise Coffey
Denise van Outen
Fanny Brough
Fanny Dango
Fay Compton
Fay Ripley
Felicity Kendal
Fenella Woolgar
Gabrielle Anwar
Gail Grainger
Kerry Godliman
Kika Markham
Kim Hartman
Kim Tserkezie
Krissie Illing
Kristin Scott Thomas
Leonie Elliott
Lesley Dunlop
Lesley Goldie
Lesley Judd
Lesley Manville
Lesley Nicol
Lesley Osmond
Lesley Sharp
Lesley Vickerage
Lettice Fairfax
Letty Lind
Mavis Pugh
Maxine Audley
May Clark
May Hallatt
May Morton
May Warden
May Whitty
Myriam François
Naomie Harris
Natalie Anderson
Natalie Gumede
Natascha McElhone
Natasha Little
Natasha Pyne
Natasha Richardson
Stacy Dorning
Valerie French
Valerie Leon
Valerie Lilley
Valerie Singleton
Valerie Taylor
Valerie Van Ost
Valia Venitshaya
Valli Valli
Vanda Godsell
Vanessa Angel
Vanessa Howard
Vanessa Redgrave
Wanda Ventham
Catherine Cusack
Catherine Lacey
Catherine McCormack
Catherine Rabett
Catherine Russell
Catherine Tate
Cathryn Bradshaw
Cathryn Harrison
Catriona MacColl
Colette Brettel
Colleen Clifford
Concordia Merrel
Constance Benson
Constance Carpenter
Constance Collier
Constance Crawley
Constance Cummings
Constance Shotter
Corrinne Wicks
Eleanor Robson Belmont
Eleanor Summerfield
Elisabeth Bergner
Elisabeth Croft
Elisabeth Risdon
Elisabeth Sladen
Elizabeth Adare
Elizabeth Allan
Elizabeth Bell
Elizabeth Berrington
Elizabeth Bibesco
Elizabeth Bradley
Elizabeth Garvie
Elizabeth Hoare
Elizabeth Hurley
Elizabeth Knight
Elizabeth Spriggs
Elizabeth Taylor
Ellaline Terriss
Ellen Terry
Ellie Nunn
Ellis Jeffreys
Elma Soiron
Elsa Lanchester
Elsie Randolph
Elspeth March
Elvira Barney
Emilia Fox
Emily Bergl
Emily Fitzroy
Emily Lloyd
Emily Mortimer
Emily Watson
Emma Bunton
Emma Chambers
Emma Dunn
Emma Fielding
Emma Pierson
Emma Samms
Emma Walton Hamilton
Enid Stamp Taylor
Frances Barber
Frances White
Frances de la Tour
Francesca Annis
Georgia Brown
Georgia May Foote
Georgia Taylor
Georgina Leonidas
Georgina Sherrington
Georgina Ward
Geraldine James
Geraldine McEwan
Geraldine McNulty
Gertrude Lawrence
Gertrude Norman
Gertrude Sterroll
Gia Scala
Gillian Bevan
Gillian Blake
Gillian Kearney
Gillian Taylforth
Gilly Flower
Gina McKee
Gladys Ambrose
Gladys Cooper
Gladys Jennings
Gladys Kingsbury
Gladys Sylvani
Glenda Jackson
Gloria Paul
Grace Arnold
Gracie Fields
Ida Lupino
Kara Tointon
Karen Dotrice
Lauren Lyle
Leah Bracknell
Leal Douglas
Linda Armstrong
Linda Bassett
Linda Foster
Linda Regan
Linda Robson
Lisa Coleman
Lisa Faulkner
Lisa Stansfield
Lydia Bilbrook
Lydia Sherwood
Lynda Baron
Lynn Dalby
Lynn Fontanne
Lynn Redgrave
Lynn Taylor
Lynne Frederick
Lynsey Baxter
Lysette Anthony
Maidie Andrews
Maria Britneva
Maria Darling
Maria Friedman
Marianne Faithfull
Marianne Jean-Baptiste
Marie Ault
Marie Burke
Marie Lloyd Jr.
Marie Lohr
Marie Ney
Marie Wright
Marina Sirtis
Marion Bailey
Marjorie Gordon
Marjorie Hume
Marjorie Lynette Sigley
Marjorie Rhodes
Marjorie Villis
Marjorie Yates
Marsha Fitzalan
Marsha Thomason
Martha Howe-Douglas
Martha Ross
Meera Syal
Meg Lemonnier
Meggie Albanesi
Megs Jenkins
Mel Giedroyc
Michele Dotrice
Michelle Collins
Michelle Ryan
Michelle Thorne
Sian Blake
Sienna Guillory
Siobhan Finneran
Stella Arbenina
Stephanie Beacham
Stephanie Cole
Stephanie Leonidas
Sybil Arundale
Sybil Carlisle
Sybil Thorndike
Sydney Fairbrother
Sydney Sturgess
Sylvia Anderson
Sylvia Grey
Toni Edgar-Bruce
Yasmin Bannerman
Yolande Palfrey
Zoe Telford
Zoë Wanamaker
Zöe Lucker
Charlotte Alexandra
Charlotte Barker
Charlotte Coleman
Charlotte Francis
Charlotte Gainsbourg
Charlotte Granville
Charlotte Lewis
Charlotte Long
Charlotte Rampling
Charmian May
Cherie Lunghi
Cheryl Kennedy
Chili Bouchier
Chloë Annett
Chrissie White
Christine Adams
Christine Finn
Christine Kavanagh
Christine Norden
Christine Rayner
Cicely Courtneidge
Cindy O'Callaghan
Cissy Fitzgerald
Claire Bloom
Claire Price
Claire Rushbrook
Claire Skinner
Claire Stansfield
Clara T. Bracy
Clare Calbraith
Clare Greet
Clare Higgins
Clare Holman
Clare Thomas
Claudie Blakley
Daisy Beaumont
Daisy Burrell
Daisy Campbell
Daisy Cordell
Daisy and Violet Hilton
Dandy Nichols
Dani Harmer
Daniela Denby-Ashe
Danielle McCormack
Dannielle Brent
Daphne Slater
Davinia Taylor
Dawn Addams
Deborah Baxter
Deborah Findlay
Deborah Moore
Deborah Norton
Deborah Watling
Diana Churchill
Diana Dors
Diana Hoddinott
Diana Kent
Diana King
Diana Napier
Diana Quick
Diana Rigg
Diana Wynyard
Diane Clare
Diane Holland
Dido Miles
Dilys Watling
Dinita Gohil
Edie Martin
Edith Carter
Edith Craig
Edith Evans
Edith Sharpe
Edith Yorke
Edna Best
Eileen Atkins
Eileen Davies
Eileen Erskine
Eileen Essell
Eileen O'Brien
Eileen Way
Eily Malyon
Elaine Taylor
Elaine Usher
Esme Hubbard
Esta Charkham
Estelle Winwood
Esther McCracken
Ethel Griffies
Eunice Black
Eunice Gayson
Eva Griffith
Eva Moore
Eva Mottley
Eva Pope
Eve Gray
Eve Lister
Evelyn Boucher
Evelyn Laye
Fabia Drake
Finty Williams
Fiona Spence
Fiona Walker
Flaminia Cinque
Fleur Bennett
Flora Finch
Flora Le Breton
Flora Morris
Flora Robson
Florence Desmond
Florence Gill
Florence Hoath
Hutin Britton
Jackie Forster
Jackie Lane
Jackie Smith-Wood
Jacqueline Bisset
Jacqueline Hill
Jade Williams
Jaime Murray
Jayne Atkinson
Jessica Baglow
Jessica Hynes
Jessica Martin
Jessica Oyelowo
Jessica Smith
Jessie Bateman
Jessie Matthews
Jessie Robins
Jill Adams
Jill Curzon
Jill Esmond
Jill Frappier
Jill Ireland
Jill Martin
Jo-Anne Knowles
Jo Brand
Jo Kendall
Jo Martin
Jo O'Meara
Jo Wyatt
Joan Barry
Joan Benham
Joan Clarkson
Joan Collins
Joan Dowling
Joan Edgar
Joan Elan
Joan Fontaine
Joan Gardner
Joan Greenwood
Joan Hickson
Joan Le Mesurier
Joan Maude
Joan Morgan
Joan Plowright
Joan Rice
Joan Ritz
Joan Sanderson
Joan Standing
Joanna David
Joanna Pettet
Joanna Riding
Joanne Froggatt
Joanne Heywood
Joanne Whalley
Jodhi May
Kazia Pelka
Keeley Forsyth
Keeley Hawes
Keira Knightley
Kellie Bright
Kelly Brook
Kelly LeBrock
Kelly Reilly
Minna Grey
Minnie Driver
Minnie Rayner
Montserrat Lombard
Prunella Gee
Prunella Scales
Pui Fan Lee
Rachael Stirling
Rachel Kempson
Rachel Leskovac
Rachel Weisz
Rachel de Solla
Raquel Cassidy
Sally Ann Howes
Sally Ann Matthews
Sally Bretton
Sally Dynevor
Sally Geeson
Sally Grace
Sally Gray
Sally Hawkins
Sally Mortemore
Sally Phillips
The Mawby Triplets
Crissy Rock
Kacey Clarke
Kadamba Simmons
Lady Diana Cooper
Lady Iris Mountbatten
Lady Jeanne Campbell
Lara Belmont
Laura Bayley
Laura Howard
Lucy Akhurst
Lucy Beaumont
Lucy Benjamin
Lucy Briers
Lucy Cohu
Lucy Davis
Lucy Gordon
Lucy Griffiths
Lucy Gutteridge
Lucy Montgomery
Lucy Punch
Lucy Robinson
Lucy Scott
Lucy Speed
M'lita Dolores
Mabel Constanduros
Mabel Poulton
Mabel Terry-Lewis
Mandy Colleran
Manora Thew
Martine Beswick
Martine McCutcheon
Martita Hunt
Mary Barclay
Mary Brough
Mary Casson
Mary Clare
Mary Davis
Mary Dibley
Mary Forbes
Mary Germaine
Mary Jerrold
Mary Lawson
Mary Mackenzie
Mary Merrall
Mary Millar
Mary Newland
Mary Rorke
Mary Tamm
Nova Pilbeam
Selina Cadell
Selina Giles
Selina Griffiths
Serena Evans
Serena Gordon
Serena Scott Thomas
Tina Hobley
Tina O'Brien
Winifred Evans
Winifred Harris
Winifred Kingston
Winifred Shotter
Greer Garson
Haidee Wright
Hannah Spearritt
Hannah Taylor-Gordon
Hannah Waddingham
Hannah Waterman
Holliday Grainger
Holly Aird
Holly Earl
Honor Blackman
Jan Chappell
Jane Asher
Jane Birkin
Jane Booker
Jane Carr
Jane Carr
Jane Griffiths
Jane Gurnett
Jane Hayward
Jane Horrocks
Jane Hylton
Jane Leeves
Jane March
Jane Seymour
Jane Slavin
Janet Alexander
Janet Davies
Janet Henfrey
Janet Key
Janet McTeer
Janet Munro
Janette Scott
Janie Dee
Janina Faye
Janine Duvitski
Jose Collins
Kate Ashfield
Kate Beckinsale
Kate Buffery
Kate Cutler
Kate Fahy
Kate Firth
Kate Fitzgerald
Kate Fleetwood
Kate Harbour
Kate Hardie
Kate Hodgson
Kate Isitt
Kate Magowan
Kate Maravan
Kate O'Mara
Kate O'Toole
Kate Reid
Kate Winslet
Katharine Rogers
Katherine Woodville
Kathleen Byron
Kathleen Harrison
Kathleen Lockhart
Kathryn Beaumont
Kathryn Hunter
Kathryn Pogson
Kathy Burke
Kathy Staff
Katie Griffiths
Katie Johnson
Katrin Cartlidge
Katrine Boorman
Katy Manning
Kay Adshead
Kay Deslys
Kay Hammond
Kay Kendall
Kay Purcell
Kay Walsh
Kirsten Cooke
Kitty Gordon
Kitty Melrose
Liz Crowther
Liz Dawn
Liz Fraser
Liz May Brice
Liz Smith
Liza Walker
Lizette Thorne
Moyra Fraser
Mrs. Bernard Beere
Mumtaz Hussain
Nadia Sawalha
Nan Marriott-Watson
Nancy Burne
Nancy Nevinson
Nancy Price
Nancy Welford
Nanine Wright
Naomi Radcliffe
Naomi Watts
Roisin Conaty
Ruth Gemmell
Ruth Mackay
Ruth Sheen
Ruthie Henshall
Susan George
Susan Hampshire
Susan Jameson
Susan Shaw
Susan Sheridan
Susan Stephen
Susannah Harker
Susannah York
Susie Blake
Susie Silvey
Suzanna Leigh
Suzette Llewellyn
Suzy Aitchison
Tempe Pigott
Thora Hird
Ursula Howells
Ursula Jeans
Ursula O'Leary
Harriet Walter
Hattie Jacques
Hattie Morahan
Haydn Gwynne
Hayley Mills
Hazel Adair
Hazel Court
Hazel Douglas
Hazel Monaghan
Hazel Terry
Heather Angel
Heather Peace
Heather Sears
Heather Thatcher
Heather Wright
Hedli Anderson
Helen Baxendale
Helen Cherry
Helen Ferrers
Helen Flanagan
Helen Fraser
Helen Haye
Helen Lederer
Helen Masters
Helen Maud Holt
Helen McCrory
Helen Mirren
Helen Worth
Helena Bonham Carter
Helena Michell
Helena Millais
Helene Palmer
Hermione Baddeley
Hermione Gingold
Hermione Hannen
Hermione Norris
Hetty Baynes
Hilary Dwyer
Hilda Moore
Hilda Plowright
Hilda Spong
Hildegarde Neil
Ivy Close
Ivy Duke
Ivy Tresmand
Patsy Kensit
Patti Clare
Paula Tilbrook
Paula Wilcox
Pauline Collins
Pauline Johnson
Pauline Moran
Pauline Quirke
Pauline Tennant
Pauline Yates
Petra Letang
Petra Markham
Petula Clark
Philippa Bevans
Philippa Gail
Phoebe Nicholls
Phyllis Barry
Phyllis Calvert
Phyllis Dare
Phyllis Konstam
Phyllis MacMahon
Phyllis Morris
Phyllis Neilson-Terry
Phyllis Shannaw
Liana Bridges
Lila Kaye
Lilian Bond
Lilian Braithwaite
Lilian Harvey
Lillian Hall-Davis
Lillian Kemble-Cooper
Lillian Rich
Lily Collins
Lily Elsie
Lily Hanbury
Lily Saxby
Marcia Warren
Margaret Ashcroft
Margaret Johnston
Margaret Leahy
Margaret Leighton
Margaret Lockwood
Margaret Nolan
Margaret Rawlings
Margaret Rutherford
Margaret Scudamore
Margaret Whiting
Margaret Wycherly
Margaret Yarde
Margery Mason
Margery Maude
Margo McLennan
Margot Bryant
Margot Drake
Margot Grahame
Nula Conwell
Ophelia Lovibond
Pamela Brown
Pamela Cundell
Pamela Mason
Pamela Rooke
Pamela Stanley
Rene Ray, Countess of Midleton
Renee Kelly
Renie Riano
Rita Jolivet
Rita Tushingham
Rita Webb
Roberta Kerr
Roberta Tovey
Robin Weaver
Noel Dyson
Noele Gordon
Nora Nicholson
Nora Swinburne
Norah Baring
Norma Ronald
Norma Varden
Pooky Quesnel
Poppy Miller
Rhona Mitra
Romola Garai
Rosalie Crutchley
Rosalind Bennett
Rosalind Knight
Rosamund Greenwood
Rosamund John
Rose Hill
Rosemary Harris
Rosemary Martin
Rosie Bannister
Rosie Cavaliero
Rosie Marcel
Saba Raleigh
Sabina Franklyn
Sadie Corré
Saffron Burrows
Sandra Dorne
Sandra Storme
Sandy Ratcliff
Sarah-Jane Honeywell
Sarah-Jane Potts
Sarah Alexander
Sarah Churchill
Sarah Hadland
Sarah Jayne Dunn
Tessa Peake-Jones
Thandiwe Newton
Tricia Walsh-Smith
Trudie Styler
Una Stubbs
Venetia Stevenson
Vera Lynn
Verity Rushworth
Veronica Carlson
Vesta Tilley
Wendy Barrie
Wendy Craig
Wendy Jane Walker
Wendy Morgan
Wendy Padbury
Wendy Richard
Wendy Toye
