Alba August
Amalie Bruun
Anette Støvelbæk
Anna Bård
Anna Henriques-Nielsen
Augusta Schrumpf
Johanne Pedersen-Dan
Beatrice Bonnesen
Benedikte Hansen
Berthe Qvistgaard
Betty Helsengreen
Birgitte Price
Birthe Neumann
Bodil Rosing
Bodil Steen
Bodil Udsen
Caja Heimann
Camilla Overbye Roos
Iben Hjejle
Lone Hertz
Louise Fribo
Olga Svendsen
Rie Rasmussen
Solveig Sundborg
Stine Stengade
Thecla Boesen
Tove Bang
Tove Maës
Tove Wallenstrøm
Vivi Bach
Ditte Gråbøl
Ditte Hansen
Gwili Andre
Gyda Hansen
Ingeborg Bruhn Bertelsen
Ingeborg Spangsfeldt
Inger Stender
Jeanne Darville
Judy Gringer
Julie Brochorst Andersen
Julie Ølgaard
Mathilde Nielsen
Nina van Pallandt
Osa Massen
Rudi Hansen
Deepika Padukone
Mia Lyhne
Connie Meiling
Elga Olga Svendsen
Ellen Hillingsø
Ellen Margrethe Stein
Else Jarlbak
Else Petersen
Emilie Ullerup
Erhardine Adolphine Hansen
Gerda Madsen
Ghita Nørby
Jytte Abildstrøm
Karen Berg
Karen Caspersen
Karin Nellemose
Linnea Berthelsen
Lis Løwert
Lisbeth Hummel
Maria Garland
Maria Sten
Sidse Babett Knudsen
Stephania Potalivo
Stephanie Corneliussen
Charlotte Munck
Charlotte Sieling
Clara Pontoppidan
Ebba Amfeldt
Jaqueline Fleming
Mimi Heinrich
Minna Jørgensen
Puk Schaufuss
Laura Christensen
Laura Drasbæk
Greta Thyssen
Grete Frische
Grethe Holmer
Guri Richter
Katy Valentin
Kaya Brüel
Kirsten Rolffes
Kirsten Walther
Kitty Swan
Sofie Gråbøl
Solbjørg Højfeldt
Heidi Kozak
Heidi Ryom
Helen von Münchofen
Helli Louise
Randi Michelsen
Lili Heglund
Lily Weiding
Margaret Blanche
Margrethe Schanne
Sandi Toksvig
Sanne Brüel
Sara Poulsen
Ulla Lock
